name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Paramuribaculum intestinale	2094151	S	591	67	658	0.00003
Sodaliphilus pleomorphus	2606626	S	485	19	504	0.00002
Porphyromonas sp. oral taxon 275	712435	S	1027	8	1035	0.00004
Porphyromonas somerae	322095	S	925	35	960	0.00004
Porphyromonas gingivalis	837	S	580	28	608	0.00003
Porphyromonas asaccharolytica	28123	S	353	2	355	0.00001
Porphyromonas crevioricanis	393921	S	234	5	239	0.00001
Porphyromonas cangingivalis	36874	S	68	1	69	0.00000
uncultured Macellibacteroides sp.	1243007	S	196	1	197	0.00001
Tenuifilum thalassicum	2590900	S	142	0	142	0.00001
Draconibacterium orientale	1168034	S	337	57	394	0.00002
uncultured Draconibacterium sp.	1573823	S	145	8	153	0.00001
Mangrovibacterium marinum	1639118	S	403	1	404	0.00002
uncultured Sunxiuqinia sp.	1573825	S	28	0	28	0.00000
uncultured Marinifilum sp.	1127472	S	19	1	20	0.00000
Marinifilum fragile	570161	S	17	0	17	0.00000
Labilibaculum antarcticum	1717717	S	20	0	20	0.00000
Alkaliflexus sp. Ai-910	2949635	S	31	0	31	0.00000
uncultured Carboxylicivirga sp.	1628156	S	13	0	13	0.00000
Hymenobacter sp. BRD128	2675878	S	318	44	362	0.00001
Hymenobacter sp. BT18	2835648	S	268	45	313	0.00001
Hymenobacter sp. 5317J-9	2932250	S	233	66	299	0.00001
Hymenobacter sp. DG25A	1385663	S	51	31	82	0.00000
Hymenobacter sp. PAMC 26628	1484118	S	45	12	57	0.00000
Hymenobacter sp. YIM 151858-1	2987688	S	25	6	31	0.00000
Hymenobacter sp. DG25B	1385664	S	20	11	31	0.00000
Hymenobacter sp. YIM 151500-1	2987689	S	11	2	13	0.00000
Hymenobacter cellulosilyticus	2932248	S	899	180	1079	0.00004
Hymenobacter jejuensis	2502781	S	380	25	405	0.00002
Hymenobacter aerilatus	2932251	S	293	58	351	0.00001
Hymenobacter nivis	1850093	S	283	77	360	0.00001
Hymenobacter qilianensis	1385715	S	224	35	259	0.00001
Hymenobacter oligotrophus	2319843	S	159	39	198	0.00001
Hymenobacter yonginensis	748197	S	154	216	370	0.00002
Hymenobacter cellulosivorans	2932249	S	128	26	154	0.00001
Hymenobacter sediminicola	2761579	S	72	13	85	0.00000
Hymenobacter monticola	1705399	S	67	12	79	0.00000
Hymenobacter tibetensis	497967	S	46	4	50	0.00000
Hymenobacter radiodurans	2496028	S	26	64	90	0.00000
Hymenobacter sedentarius	1411621	S	15	2	17	0.00000
Hymenobacter swuensis	1446467	S	15	3	18	0.00000
Hymenobacter canadensis	2999067	S	14	9	23	0.00000
Pontibacter russatus	2694929	S	618	36	654	0.00003
Pontibacter kalidii	2592049	S	560	54	614	0.00003
Pontibacter actiniarum	323450	S	82	6	88	0.00000
Pontibacter sp. SGAir0037	2571030	S	38	3	41	0.00000
Pontibacter sp. G13	3074898	S	16	0	16	0.00000
Pontibacter akesuensis	388950	S	38	2	40	0.00000
Rufibacter tibetensis	512763	S	168	15	183	0.00001
Rufibacter radiotolerans	1379910	S	41	3	44	0.00000
Adhaeribacter radiodurans	2745197	S	116	3	119	0.00000
Nibribacter ruber	2698458	S	18	8	26	0.00000
Spirosoma rhododendri	2728024	S	260	10	270	0.00001
Spirosoma radiotolerans	1379870	S	251	13	264	0.00001
Spirosoma montaniterrae	1178516	S	202	13	215	0.00001
Spirosoma oryzicola	2898794	S	126	4	130	0.00001
Spirosoma pollinicola	2057025	S	48	2	50	0.00000
Spirosoma aerolatum	1211326	S	42	1	43	0.00000
Spirosoma taeanense	2735870	S	27	1	28	0.00000
Spirosoma rigui	564064	S	18	0	18	0.00000
Tellurirhabdus rosea	2674997	S	560	15	575	0.00002
Tellurirhabdus bombi	2907205	S	14	0	14	0.00000
Rhodocytophaga rosea	2704465	S	235	1	236	0.00001
