name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	924405	571238	1495643	0.11270
Faecalibacterium sp. I4-3-84	2929495	S	334652	443661	778313	0.05865
Faecalibacterium sp. HTF-F	2929491	S	161214	68464	229678	0.01731
Faecalibacterium sp. I4-1-79	2929494	S	79701	69726	149427	0.01126
Faecalibacterium sp. I3-3-89	2929493	S	45607	18960	64567	0.00487
Faecalibacterium sp. I3-3-33	2929492	S	45338	29805	75143	0.00566
Faecalibacterium sp. IP-3-29	2929489	S	36009	85435	121444	0.00915
Faecalibacterium sp. I2-3-92	2929490	S	23625	59215	82840	0.00624
Faecalibacterium sp. IP-1-18	2929488	S	18576	106590	125166	0.00943
Faecalibacterium duncaniae	411483	S	51407	126733	178140	0.01342
Vescimonas coprocola	2714355	S	118578	32437	151015	0.01138
Vescimonas fastidiosa	2714353	S	116634	30519	147153	0.01109
Lawsonibacter asaccharolyticus	2108523	S	157555	13852	171407	0.01292
Dysosmobacter welbionis	2093857	S	121208	25251	146459	0.01104
Ruthenibacterium lactatiformans	1550024	S	106583	7155	113738	0.00857
Flavonifractor plautii	292800	S	96021	7462	103483	0.00780
Pusillibacter faecalis	2714358	S	46719	5374	52093	0.00393
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	32462	1262	33724	0.00254
Ruminococcus champanellensis	1161942	S	3843	52	3895	0.00029
Ruminococcus bovis	2564099	S	2145	38	2183	0.00016
Ruminococcus sp. SR1/5	657323	S	1039	4635	5674	0.00043
Ruminococcus albus	1264	S	446	1	447	0.00003
Ruminococcus gauvreauii	438033	S	233	20	253	0.00002
Subdoligranulum variabile	214851	S	31338	2810	34148	0.00257
Oscillibacter hominis	2763056	S	23723	1964	25687	0.00194
Anaerotruncus colihominis	169435	S	11342	1845	13187	0.00099
Solibaculum mannosilyticum	2780922	S	3102	502	3604	0.00027
Acutalibacter muris	1796620	S	2981	56	3037	0.00023
Agathobaculum sp. NTUH-O15-33	3079302	S	2288	29	2317	0.00017
Caproicibacterium sp. ZCY20-5	3030016	S	670	130	800	0.00006
Caproicibacterium sp. BJN0003	2994078	S	232	14	246	0.00002
Caproicibacterium amylolyticum	2766537	S	467	51	518	0.00004
Caproicibacterium lactatifermentans	2666138	S	269	44	313	0.00002
Caproiciproducens sp. NJN-50	2507162	S	893	39	932	0.00007
