name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Wansuia hejianensis	2763667	S	2104	70	2174	0.00013
Lacrimispora saccharolytica	84030	S	700	84	784	0.00005
Lacrimispora sphenoides	29370	S	289	23	312	0.00002
Lacrimispora xylanolytica	29375	S	224	6	230	0.00001
Chordicoccus furentiruminis	2709410	S	1224	19	1243	0.00008
Qiania dongpingensis	2763669	S	865	41	906	0.00006
Anaerocolumna sp. MB42-C2	3070997	S	95	23	118	0.00001
Anaerocolumna sp. AGMB13025	3039116	S	81	6	87	0.00001
Anaerocolumna sp. AGMB13020	3081750	S	72	4	76	0.00000
Anaerocolumna sedimenticola	2696063	S	112	32	144	0.00001
Anaerocolumna chitinilytica	1727145	S	99	5	104	0.00001
Anaerocolumna cellulosilytica	433286	S	86	4	90	0.00001
Sellimonas intestinalis	1653434	S	599	30	629	0.00004
Stomatobaculum sp. F0698	3059030	S	481	7	488	0.00003
Lachnoanaerobaculum gingivalis	2490855	S	172	63	235	0.00001
Lachnoanaerobaculum umeaense	617123	S	166	62	228	0.00001
Novisyntrophococcus fermenticellae	2068655	S	369	14	383	0.00002
Anaerotignum propionicum	28446	S	208	41	249	0.00002
Anaerotignum sp. MB30-C6	3070814	S	84	19	103	0.00001
Pseudobutyrivibrio xylanivorans	185007	S	247	2	249	0.00002
Kineothrix sp. MB12-C1	3070215	S	223	2	225	0.00001
Anaeromicropila herbilytica	2785025	S	126	1	127	0.00001
Herbinix luporum	1679721	S	109	7	116	0.00001
Chakrabartyella piscis	2918914	S	76	0	76	0.00000
Anaeropeptidivorans aminofermentans	2934315	S	58	0	58	0.00000
[Clostridium] colinum	36835	S	37	0	37	0.00000
Candidatus Epulopiscium viviparus	420336	S	10	0	10	0.00000
Intestinimonas butyriciproducens	1297617	S	28165	1080	29245	0.00180
Flintibacter sp. KGMB00164	2610895	S	27098	918	28016	0.00172
Massilistercora timonensis	2086584	S	1936	261	2197	0.00014
Mogibacterium pumilum	86332	S	81	10	91	0.00001
Mogibacterium neglectum	114528	S	81	21	102	0.00001
Mogibacterium diversum	114527	S	18	2	20	0.00000
Aminipila butyrica	433296	S	98	1	99	0.00001
Aminipila luticellarii	2507160	S	62	1	63	0.00000
Aminipila terrae	2697030	S	11	0	11	0.00000
Emergencia timonensis	1776384	S	170	4	174	0.00001
Thermaerobacter sp. PB12/4term	2293838	S	76	67	143	0.00001
Thermaerobacter marianensis	73919	S	57	58	115	0.00001
Proteiniborus sp. MB09-C3	3050072	S	54	0	54	0.00000
Carboxydocella thermautotrophica	178899	S	28	0	28	0.00000
Fenollaria sporofastidiosus	2811778	S	11	7	18	0.00000
Intestinibacillus sp. NTUH-41-i26	3079303	S	13692	909	14601	0.00090
Eubacterium callanderi	53442	S	6399	361	6760	0.00042
Eubacterium ventriosum	39496	S	1946	198	2144	0.00013
Eubacterium maltosivorans	2041044	S	727	24	751	0.00005
Eubacterium sp. MSJ-33	2841528	S	606	76	682	0.00004
Eubacterium limosum	1736	S	294	11	305	0.00002
uncultured Acetobacterium sp.	217139	S	35	4	39	0.00000
Acetobacterium sp. KB-1	2184575	S	28	6	34	0.00000
Acetobacterium wieringae	52694	S	24	4	28	0.00000
Acetobacterium woodii	33952	S	10	0	10	0.00000
Alkalibacter rhizosphaerae	2815577	S	79	0	79	0.00000
Clostridium sp. M62/1	411486	S	9597	2152	11749	0.00072
Clostridium sp. SY8519	1042156	S	2624	80	2704	0.00017
Clostridium sp. LQ25	2992805	S	209	406	615	0.00004
Clostridium sp. C1	1155388	S	164	14	178	0.00001
Clostridium sp. MD294	97138	S	88	0	88	0.00001
Clostridium sp. JN-1	2483110	S	46	3	49	0.00000
Clostridium sp. JN-9	2507159	S	43	1	44	0.00000
Clostridium sp. BJN0001	2930219	S	20	1	21	0.00000
Clostridium sp. OS1-26	3070681	S	14	0	14	0.00000
Clostridium sp. 'deep sea'	2779445	S	13	0	13	0.00000
Clostridium sp. BNL1100	755731	S	12	0	12	0.00000
Clostridium sp. 001	1970093	S	12	21	33	0.00000
Clostridium perfringens	1502	S	682	280	962	0.00006
Clostridium cadaveris	1529	S	235	10	245	0.00002
Clostridium intestinale	36845	S	150	5	155	0.00001
Clostridium pasteurianum	1501	S	80	1	81	0.00000
Clostridium estertheticum	238834	S	52	1	53	0.00000
Clostridium kluyveri	1534	S	51	0	51	0.00000
Clostridium saccharobutylicum	169679	S	45	2	47	0.00000
Clostridium botulinum	1491	S	41	5	46	0.00000
Clostridium sporogenes	1509	S	37	11	48	0.00000
Clostridium beijerinckii	1520	S	34	7	41	0.00000
Clostridium isatidis	182773	S	32	2	34	0.00000
Clostridium tetani	1513	S	30	1	31	0.00000
Clostridium tyrobutyricum	1519	S	27	0	27	0.00000
Clostridium cellulovorans	1493	S	27	0	27	0.00000
Clostridium saccharoperbutylacetonicum	36745	S	27	1	28	0.00000
Clostridium fermenticellae	2068654	S	26	0	26	0.00000
Clostridium cochlearium	1494	S	24	1	25	0.00000
Clostridium bornimense	1216932	S	23	1	24	0.00000
Clostridium manihotivorum	2320868	S	21	0	21	0.00000
Clostridium gelidum	704125	S	20	0	20	0.00000
Clostridium autoethanogenum	84023	S	18	17	35	0.00000
Clostridium tagluense	360422	S	17	0	17	0.00000
Clostridium argentinense	29341	S	16	0	16	0.00000
Clostridium chauvoei	46867	S	16	1	17	0.00000
Clostridium septicum	1504	S	16	1	17	0.00000
Clostridium baratii	1561	S	13	0	13	0.00000
Clostridium novyi	1542	S	12	0	12	0.00000
Clostridium acetobutylicum	1488	S	11	0	11	0.00000
Clostridium carboxidivorans	217159	S	10	2	12	0.00000
Clostridium gasigenes	94869	S	10	0	10	0.00000
Clostridium aceticum	84022	S	10	0	10	0.00000
Clostridium felsineum	36839	S	10	0	10	0.00000
Hungatella hathewayi	154046	S	3972	323	4295	0.00026
Hungatella xylanolytica	384636	S	208	7	215	0.00001
Proteiniclasticum sp. QWL-01	3036945	S	219	4	223	0.00001
Caloramator sp. mosi_1	3023090	S	61	11	72	0.00000
Caloramator sp. E03	2576307	S	28	1	29	0.00000
Caloramator sp. Dgby_cultured_2	3029174	S	11	1	12	0.00000
Geosporobacter ferrireducens	1424294	S	83	3	86	0.00001
Alkaliphilus metalliredigens	208226	S	48	1	49	0.00000
Crassaminicella profunda	1286698	S	21	1	22	0.00000
Crassaminicella thermophila	2599308	S	13	1	14	0.00000
Butyricicoccus sp. GAM44	2109686	S	35	0	35	0.00000
Oceanirhabdus sp. W0125-5	2999116	S	29	1	30	0.00000
Serpentinicella alkaliphila	1734049	S	28	0	28	0.00000
Candidatus Arthromitus sp. SFB-rat-Yit	1041504	S	18	6	24	0.00000
Paraclostridium bifermentans	1490	S	17	1	18	0.00000
Sarcina sp. JB2	2726954	S	11	1	12	0.00000
Clostridioides difficile	1496	S	10931	2570	13501	0.00083
Romboutsia ilealis	1115758	S	32	19	51	0.00000
Romboutsia sp. CE17	2724150	S	13	2	15	0.00000
Filifactor alocis	143361	S	72	7	79	0.00000
Paeniclostridium sordellii	1505	S	41	1	42	0.00000
Tepidibacter sp. 8C15b	2925782	S	18	2	20	0.00000
Tepidibacter hydrothermalis	3036126	S	10	1	11	0.00000
Peptoclostridium acidaminophilum	1731	S	27	0	27	0.00000
Peptostreptococcus sp. CBA3647	3003601	S	24	0	24	0.00000
Peptacetobacter hiranonis	89152	S	18	0	18	0.00000
Aristaeella hokkaidonensis	3046382	S	2585	4079	6664	0.00041
Aristaeella lactis	3046383	S	1131	1677	2808	0.00017
Maliibacterium massiliense	2086585	S	823	28	851	0.00005
Christensenella minuta	626937	S	666	30	696	0.00004
Desulforamulus ruminis	1564	S	104	0	104	0.00001
Desulforamulus reducens	59610	S	45	0	45	0.00000
Desulforamulus ferrireducens	1833852	S	29	2	31	0.00000
Thermanaerosceptrum fracticalcis	1712410	S	107	2	109	0.00001
Candidatus Formimonas warabiya	1761012	S	59	0	59	0.00000
Acididesulfobacillus acetoxydans	1561005	S	59	0	59	0.00000
Desulfofarcimen acetoxidans	58138	S	44	0	44	0.00000
Dehalobacterium formicoaceticum	51515	S	14	0	14	0.00000
Candidatus Desulforudis audaxviator	471827	S	12	0	12	0.00000
Desulfitobacterium hafniense	49338	S	35	11	46	0.00000
Desulfitobacterium dehalogenans	36854	S	24	1	25	0.00000
Desulfitobacterium dichloroeliminans	233055	S	17	6	23	0.00000
Desulfosporosinus meridiei	79209	S	25	1	26	0.00000
Desulfosporosinus youngiae	339862	S	18	1	19	0.00000
Desulfosporosinus orientis	1563	S	17	0	17	0.00000
Desulfosporosinus acidiphilus	885581	S	16	0	16	0.00000
Dehalobacter restrictus	55583	S	39	27	66	0.00000
Syntrophobotulus glycolicus	51197	S	39	1	40	0.00000
Heliomicrobium modesticaldum	35701	S	137	9	146	0.00001
Heliorestis convoluta	356322	S	80	0	80	0.00000
Symbiobacterium thermophilum	2734	S	95	0	95	0.00001
Caldinitratiruptor microaerophilus	671077	S	44	0	44	0.00000
Vallitalea guaymasensis	1185412	S	35	1	36	0.00000
Vallitalea pronyensis	1348613	S	25	1	26	0.00000
Petrocella atlantisensis	2173034	S	62	0	62	0.00000
Cellulosilyticum sp. WCF-2	2497860	S	72	20	92	0.00001
Syntrophothermus lipocalidus	86170	S	36	0	36	0.00000
Desulfotomaculum nigrificans	1565	S	28	2	30	0.00000
Desulfoscipio gibsoniae	102134	S	25	0	25	0.00000
Thermincola potens	863643	S	22	0	22	0.00000
Gelria sp. Kuro-4	2796927	S	188	1	189	0.00001
Thermoanaerobacterium xylanolyticum	29329	S	31	3	34	0.00000
Thermoanaerobacterium sp. CMT5567-10	3061989	S	15	5	20	0.00000
Thermoanaerobacterium thermosaccharolyticum	1517	S	15	5	20	0.00000
Thermacetogenium phaeum	85874	S	59	6	65	0.00000
Aceticella autotrophica	2755338	S	19	1	20	0.00000
Ammonifex degensii	42838	S	17	0	17	0.00000
Mahella australiensis	252966	S	24	0	24	0.00000
Moorella glycerini	55779	S	108	3	111	0.00001
Moorella thermoacetica	1525	S	90	3	93	0.00001
Moorella sp. Hama-1	2138101	S	72	3	75	0.00000
Thermanaeromonas toyohensis	161154	S	17	0	17	0.00000
Zhaonella formicivorans	2528593	S	48	0	48	0.00000
Caldicellulosiruptor obsidiansis	717609	S	38	14	52	0.00000
Caldicellulosiruptor diazotrophicus	2806205	S	17	6	23	0.00000
Caldicellulosiruptor owensensis	55205	S	14	4	18	0.00000
Halanaerobium praevalens	2331	S	10	4	14	0.00000
Anoxybacter fermentans	1323375	S	14	0	14	0.00000
Halothermothrix orenii	31909	S	11	0	11	0.00000
Biomaibacter acetigenes	2316383	S	23	0	23	0.00000
Thermosediminibacter oceani	291990	S	17	0	17	0.00000
Paenibacillus sp. B01	2660554	S	218	160	378	0.00002
Paenibacillus sp. JDR-2	324057	S	203	14	217	0.00001
Paenibacillus sp. SYP-B4298	2996034	S	120	6	126	0.00001
Paenibacillus sp. 32O-W	1695218	S	68	7	75	0.00000
Paenibacillus sp. FSL R7-0331	1536773	S	67	25	92	0.00001
Paenibacillus sp. URB8-2	2741301	S	63	28	91	0.00001
Paenibacillus sp. JZ16	1906272	S	53	27	80	0.00000
Paenibacillus sp. BIHB 4019	1870819	S	43	2	45	0.00000
Paenibacillus sp. FSL R7-0273	1536772	S	38	14	52	0.00000
Paenibacillus sp. PAMC21692	2762320	S	34	60	94	0.00001
Paenibacillus sp. N3/727	2925845	S	34	85	119	0.00001
Paenibacillus sp. MBLB1832	2918901	S	32	2	34	0.00000
Paenibacillus sp. MMS20-IR301	2895946	S	30	5	35	0.00000
Paenibacillus sp. HWE-109	1306526	S	27	2	29	0.00000
Paenibacillus sp. FSL R5-0912	1536771	S	23	35	58	0.00000
Paenibacillus sp. JNUCC-31	2777983	S	23	16	39	0.00000
Paenibacillus sp. R14(2021)	2859228	S	23	2	25	0.00000
Paenibacillus sp. RUD330	2023772	S	22	2	24	0.00000
Paenibacillus sp. PSB04	2866810	S	21	48	69	0.00000
Paenibacillus sp. RC67	3039392	S	20	1	21	0.00000
Paenibacillus sp. H1-7	2282849	S	17	1	18	0.00000
Paenibacillus sp. PK3_47	2072642	S	16	2	18	0.00000
Paenibacillus sp. KACC 21273	3025665	S	14	69	83	0.00001
Paenibacillus sp. YPG26	2878915	S	11	1	12	0.00000
Paenibacillus sp. G2S3	3047872	S	11	15	26	0.00000
Paenibacillus sp. D2_2	3073092	S	11	2	13	0.00000
Paenibacillus sp. S02	2823904	S	10	198	208	0.00001
Paenibacillus donghaensis	414771	S	224	36	260	0.00002
Paenibacillus brasilensis	128574	S	126	125	251	0.00002
Paenibacillus durus	44251	S	112	55	167	0.00001
Paenibacillus mucilaginosus	61624	S	99	8	107	0.00001
Paenibacillus lycopersici	2704462	S	88	11	99	0.00001
Paenibacillus azoreducens	116718	S	77	10	87	0.00001
Paenibacillus elgii	189691	S	70	7	77	0.00000
Paenibacillus protaetiae	2509456	S	64	5	69	0.00000
Paenibacillus dendritiformis	130049	S	58	47	105	0.00001
Paenibacillus stellifer	169760	S	55	12	67	0.00000
Paenibacillus macerans	44252	S	50	3	53	0.00000
Paenibacillus lentus	1338368	S	50	6	56	0.00000
Paenibacillus algicola	2565926	S	49	5	54	0.00000
Paenibacillus chitinolyticus	79263	S	48	5	53	0.00000
Paenibacillus cellulositrophicus	562959	S	42	93	135	0.00001
Paenibacillus sonchi	373687	S	13	44	57	0.00000
Paenibacillus borealis	160799	S	41	34	75	0.00000
Paenibacillus bovis	1616788	S	39	3	42	0.00000
Paenibacillus beijingensis	1126833	S	38	4	42	0.00000
Paenibacillus albicereus	2726185	S	35	19	54	0.00000
Paenibacillus woosongensis	307580	S	35	8	43	0.00000
Paenibacillus aurantius	2918900	S	35	2	37	0.00000
Paenibacillus rhizovicinus	2704463	S	32	3	35	0.00000
Paenibacillus cellulosilyticus	375489	S	32	2	34	0.00000
Paenibacillus psychroresistens	1778678	S	29	0	29	0.00000
Paenibacillus ihbetae	1870820	S	29	5	34	0.00000
Paenibacillus sophorae	1333845	S	29	24	53	0.00000
Paenibacillus terrae	159743	S	24	45	69	0.00000
Paenibacillus spongiae	2909671	S	21	1	22	0.00000
Paenibacillus naphthalenovorans	162209	S	19	2	21	0.00000
Paenibacillus thiaminolyticus	49283	S	18	16	34	0.00000
Paenibacillus alvei	44250	S	18	2	20	0.00000
Paenibacillus hunanensis	539262	S	16	1	17	0.00000
Paenibacillus swuensis	1178515	S	16	1	17	0.00000
Paenibacillus crassostreae	1763538	S	16	2	18	0.00000
Paenibacillus polymyxa	1406	S	14	279	293	0.00002
Paenibacillus lutimineralis	2707005	S	12	2	14	0.00000
Paenibacillus yonginensis	1462996	S	12	8	20	0.00000
Paenibacillus physcomitrellae	1619311	S	12	7	19	0.00000
Paenibacillus urinalis	521520	S	11	2	13	0.00000
Paenibacillus jilunlii	682956	S	11	17	28	0.00000
Paenibacillus guangzhouensis	1473112	S	11	1	12	0.00000
Brevibacillus sp. WF146	319501	S	79	51	130	0.00001
Brevibacillus ruminantium	2950604	S	67	14	81	0.00000
Brevibacillus brevis	1393	S	61	53	114	0.00001
Brevibacillus composti	2796470	S	58	16	74	0.00000
Brevibacillus marinus	2496837	S	43	3	46	0.00000
Brevibacillus humidisoli	2895522	S	18	1	19	0.00000
Brevibacillus choshinensis	54911	S	17	2	19	0.00000
Brevibacillus borstelensis	45462	S	16	3	19	0.00000
Brevibacillus agri	51101	S	11	213	224	0.00001
Thermobacillus composti	377615	S	202	44	246	0.00002
Cohnella sp. LGH	1619153	S	71	44	115	0.00001
Cohnella herbarum	2728023	S	63	14	77	0.00000
Cohnella candidum	2674991	S	37	4	41	0.00000
Cohnella abietis	2507935	S	19	2	21	0.00000
Saccharibacillus brassicae	2583377	S	174	23	197	0.00001
Aneurinibacillus sp. B1	2966586	S	34	61	95	0.00001
Aneurinibacillus sp. Ricciae_BoGa-3	3022697	S	21	3	24	0.00000
Aneurinibacillus soli	1500254	S	13	22	35	0.00000
Bacillus glycinifermentans	1664069	S	223	7	230	0.00001
Bacillus velezensis	492670	S	18	59	77	0.00000
Bacillus atrophaeus	1452	S	17	0	17	0.00000
Bacillus paralicheniformis	1648923	S	13	1	14	0.00000
Bacillus mojavensis	72360	S	10	1	11	0.00000
Bacillus subtilis	1423	S	11	228	239	0.00001
Bacillus thuringiensis	1428	S	22	13	35	0.00000
Bacillus cereus	1396	S	18	1217	1235	0.00008
Bacillus mycoides	1405	S	18	3	21	0.00000
Bacillus pseudomycoides	64104	S	10	0	10	0.00000
Bacillus sp. KH172YL63	2709784	S	14	3	17	0.00000
Bacillus sp. FJAT-42376	2014076	S	13	2	15	0.00000
Bacillus infantis	324767	S	13	0	13	0.00000
Neobacillus sp. 114	3048535	S	51	3	54	0.00000
Neobacillus sp. OS1-32	3070682	S	34	2	36	0.00000
Neobacillus sp. PS3-12	3070677	S	19	1	20	0.00000
Neobacillus sp. PS2-9	3070676	S	16	1	17	0.00000
Neobacillus sp. OS1-2	3070680	S	10	0	10	0.00000
Neobacillus novalis	220687	S	105	9	114	0.00001
Neobacillus mesonae	1193713	S	31	2	33	0.00000
Neobacillus drentensis	220684	S	16	1	17	0.00000
Geobacillus subterraneus	129338	S	47	28	75	0.00000
Geobacillus sp. GHH01	1233873	S	11	150	161	0.00001
Heyndrickxia coagulans	1398	S	69	114	183	0.00001
Heyndrickxia vini	1476025	S	16	1	17	0.00000
Peribacillus asahii	228899	S	40	5	45	0.00000
Peribacillus psychrosaccharolyticus	1407	S	31	2	33	0.00000
Peribacillus frigoritolerans	450367	S	25	22	47	0.00000
Lysinibacillus sp. 2017	2169540	S	14	4	18	0.00000
Lysinibacillus agricola	2590012	S	13	6	19	0.00000
Lysinibacillus timonensis	2086577	S	10	1	11	0.00000
Niallia circulans	1397	S	18	18	36	0.00000
Niallia taxi	2499688	S	18	7	25	0.00000
Niallia sp. Man26	2912824	S	11	5	16	0.00000
Halobacillus litoralis	45668	S	43	1	44	0.00000
Halobacillus naozhouensis	554880	S	12	0	12	0.00000
Sutcliffiella horikoshii	79883	S	49	14	63	0.00000
Rossellomorea marisflavi	189381	S	46	2	48	0.00000
Rossellomorea sp. KS-H15a	2963940	S	10	8	18	0.00000
Lentibacillus sp. CBA3610	2518176	S	51	0	51	0.00000
Lentibacillus amyloliquefaciens	1472767	S	13	0	13	0.00000
Priestia megaterium	1404	S	31	8	39	0.00000
Priestia koreensis	284581	S	13	0	13	0.00000
Priestia filamentosa	1402861	S	10	0	10	0.00000
Mesobacillus jeotgali	129985	S	23	3	26	0.00000
Mesobacillus sp. AQ2	3043332	S	12	1	13	0.00000
Mesobacillus foraminis	279826	S	12	0	12	0.00000
Salisediminibacterium beveridgei	632773	S	44	1	45	0.00000
Salisediminibacterium selenitireducens	85683	S	13	0	13	0.00000
Cytobacillus firmus	1399	S	27	10	37	0.00000
Anoxybacillus flavithermus	33934	S	27	9	36	0.00000
Caldibacillus thermoamylovorans	35841	S	24	4	28	0.00000
Salicibibacter cibarius	2743000	S	12	0	12	0.00000
Psychrobacillus glaciei	2283160	S	10	0	10	0.00000
Sediminibacillus dalangtanensis	2729421	S	15	0	15	0.00000
Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016	3077789	S	14	1	15	0.00000
Evansella sp. LMS18	2924033	S	10	0	10	0.00000
Pontibacillus chungwhensis	265426	S	10	0	10	0.00000
Paraliobacillus zengyii	2213194	S	10	0	10	0.00000
Staphylococcus aureus	1280	S	113	222	335	0.00002
Staphylococcus epidermidis	1282	S	75	15	90	0.00001
Staphylococcus rostri	522262	S	61	11	72	0.00000
Staphylococcus pseudintermedius	283734	S	25	3	28	0.00000
Staphylococcus capitis	29388	S	26	6	32	0.00000
Staphylococcus schleiferi	1295	S	24	2	26	0.00000
Staphylococcus coagulans	74706	S	21	2	23	0.00000
Staphylococcus pasteuri	45972	S	18	1	19	0.00000
Staphylococcus carnosus	1281	S	17	1	18	0.00000
Staphylococcus pettenkoferi	170573	S	14	0	14	0.00000
Staphylococcus warneri	1292	S	13	4	17	0.00000
Staphylococcus simulans	1286	S	13	0	13	0.00000
Macrococcus bovicus	69968	S	18	10	28	0.00000
Jeotgalicoccus sp. WY2	2708346	S	12	0	12	0.00000
Jeotgalicoccus sp. ATCC 8456	946435	S	10	0	10	0.00000
Salinicoccus halodurans	407035	S	19	0	19	0.00000
Alicyclobacillus acidocaldarius	405212	S	71	0	71	0.00000
Alicyclobacillus acidoterrestris	1450	S	50	0	50	0.00000
Alicyclobacillus sp. ALC3	2796143	S	12	0	12	0.00000
Alicyclobacillus sp. SO9	2665646	S	10	0	10	0.00000
Alicyclobacillus fastidiosus	392011	S	20	0	20	0.00000
Alicyclobacillus cycloheptanicus	1457	S	16	0	16	0.00000
Effusibacillus dendaii	2743772	S	133	3	136	0.00001
Tumebacillus avium	1903704	S	105	7	112	0.00001
Tumebacillus algifaecis	1214604	S	11	0	11	0.00000
Planococcus sp. N016	3058398	S	49	3	52	0.00000
Planococcus sp. MB-3u-03	2058136	S	18	6	24	0.00000
Planococcus sp. 107-1	2908840	S	15	2	17	0.00000
Planococcus sp. N022	3058393	S	14	0	14	0.00000
Planococcus glaciei	459472	S	40	11	51	0.00000
Planococcus lenghuensis	2213202	S	28	0	28	0.00000
Planococcus maritimus	192421	S	18	2	20	0.00000
Planococcus rifietoensis	200991	S	17	5	22	0.00000
Sporosarcina sp. Te-1	2818390	S	33	12	45	0.00000
