name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	2141472	747875	2889347	0.17773
Faecalibacterium sp. I3-3-89	2929493	S	1123514	290120	1413634	0.08695
Faecalibacterium sp. I4-3-84	2929495	S	284341	226675	511016	0.03143
Faecalibacterium sp. HTF-F	2929491	S	104317	29807	134124	0.00825
Faecalibacterium sp. I2-3-92	2929490	S	49768	74633	124401	0.00765
Faecalibacterium sp. I4-1-79	2929494	S	33678	18422	52100	0.00320
Faecalibacterium sp. I3-3-33	2929492	S	30633	12463	43096	0.00265
Faecalibacterium sp. IP-3-29	2929489	S	27711	38796	66507	0.00409
Faecalibacterium sp. IP-1-18	2929488	S	14937	50224	65161	0.00401
Faecalibacterium duncaniae	411483	S	46733	71096	117829	0.00725
Lawsonibacter asaccharolyticus	2108523	S	304949	13440	318389	0.01958
Dysosmobacter welbionis	2093857	S	237942	27407	265349	0.01632
Flavonifractor plautii	292800	S	156597	7399	163996	0.01009
Vescimonas coprocola	2714355	S	39245	10052	49297	0.00303
Vescimonas fastidiosa	2714353	S	20682	4908	25590	0.00157
Ruthenibacterium lactatiformans	1550024	S	53672	2306	55978	0.00344
Pusillibacter faecalis	2714358	S	42815	3423	46238	0.00284
Anaerotruncus colihominis	169435	S	22593	2025	24618	0.00151
Subdoligranulum variabile	214851	S	22072	1255	23327	0.00143
Oscillibacter hominis	2763056	S	20116	1002	21118	0.00130
Ruminococcus sp. SR1/5	657323	S	4163	11869	16032	0.00099
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	2459	111	2570	0.00016
Ruminococcus champanellensis	1161942	S	1036	24	1060	0.00007
Ruminococcus gauvreauii	438033	S	319	23	342	0.00002
Ruminococcus albus	1264	S	313	1	314	0.00002
Ruminococcus bovis	2564099	S	165	2	167	0.00001
Solibaculum mannosilyticum	2780922	S	2226	218	2444	0.00015
Agathobaculum sp. NTUH-O15-33	3079302	S	1453	10	1463	0.00009
Acutalibacter muris	1796620	S	1390	16	1406	0.00009
Caproicibacterium sp. ZCY20-5	3030016	S	530	103	633	0.00004
Caproicibacterium sp. BJN0003	2994078	S	155	6	161	0.00001
Caproicibacterium amylolyticum	2766537	S	326	35	361	0.00002
Caproicibacterium lactatifermentans	2666138	S	156	25	181	0.00001
Monoglobus pectinilyticus	1981510	S	851	35	886	0.00005
Caproiciproducens sp. NJN-50	2507162	S	523	9	532	0.00003
uncultured Caproiciproducens sp.	1738647	S	176	0	176	0.00001
Caproicibacter fermentans	2576756	S	483	7	490	0.00003
Ethanoligenens harbinense	253239	S	425	5	430	0.00003
Thermocaproicibacter melissae	2966552	S	214	2	216	0.00001
Mageeibacillus indolicus	884684	S	188	11	199	0.00001
Acetivibrio clariflavus	288965	S	106	8	114	0.00001
Acetivibrio saccincola	1677857	S	30	1	31	0.00000
Acetivibrio thermocellus	1515	S	17	0	17	0.00000
Amygdalobacter indicium	3029272	S	24	52	76	0.00000
Amygdalobacter nucleatus	3029274	S	18	42	60	0.00000
Petroclostridium sp. X23	3045146	S	109	1	110	0.00001
Ruminiclostridium cellulolyticum	1521	S	33	2	35	0.00000
Ruminiclostridium papyrosolvens	29362	S	27	2	29	0.00000
Paludicola sp. MB14-C6	3070656	S	48	0	48	0.00000
Thermoclostridium stercorarium	1510	S	45	12	57	0.00000
Fastidiosipila sanguinis	236753	S	39	2	41	0.00000
Pseudoclostridium thermosuccinogenes	84032	S	37	1	38	0.00000
Simiaoa sunii	2763672	S	117968	17362	135330	0.00832
Lachnospira eligens	39485	S	117887	9659	127546	0.00785
Agathobacter rectalis	39491	S	78422	19605	98027	0.00603
Blautia obeum	40520	S	21423	5016	26439	0.00163
Blautia wexlerae	418240	S	12587	3911	16498	0.00101
Blautia luti	89014	S	7863	1821	9684	0.00060
Blautia sp. SC05B48	2479767	S	3525	3545	7070	0.00043
Blautia hydrogenotrophica	53443	S	3084	94	3178	0.00020
Blautia hansenii	1322	S	1571	377	1948	0.00012
Blautia pseudococcoides	1796616	S	1224	41	1265	0.00008
Blautia producta	33035	S	1031	480	1511	0.00009
Blautia argi	1912897	S	654	76	730	0.00004
Blautia parvula	2877527	S	411	46	457	0.00003
Blautia liquoris	2779518	S	349	8	357	0.00002
Blautia coccoides	1532	S	290	252	542	0.00003
Blautia massiliensis (ex Durand et al. 2017)	1737424	S	18	32752	32770	0.00202
Roseburia hominis	301301	S	26851	4641	31492	0.00194
Roseburia intestinalis	166486	S	23156	14507	37663	0.00232
Roseburia rectibacter	2763062	S	1831	348	2179	0.00013
Coprococcus sp. ART55/1	751585	S	18434	2989	21423	0.00132
Coprococcus comes	410072	S	10574	18766	29340	0.00180
Coprococcus catus	116085	S	3731	696	4427	0.00027
Coprococcus eutactus	33043	S	3066	1044	4110	0.00025
[Ruminococcus] torques	33039	S	15183	3812	18995	0.00117
[Ruminococcus] lactaris	46228	S	14942	1550	16492	0.00101
Mediterraneibacter gnavus	33038	S	4939	2210	7149	0.00044
Enterocloster asparagiformis	333367	S	24007	446	24453	0.00150
Enterocloster bolteae	208479	S	6986	952	7938	0.00049
Enterocloster clostridioformis	1531	S	2065	430	2495	0.00015
Dorea formicigenerans	39486	S	7205	2319	9524	0.00059
Dorea longicatena	88431	S	5485	1432	6917	0.00043
[Clostridium] scindens	29347	S	7771	563	8334	0.00051
Lachnoclostridium phocaeense	1871021	S	2393	299	2692	0.00017
[Clostridium] hylemonae	89153	S	777	49	826	0.00005
Lachnoclostridium phytofermentans	66219	S	90	0	90	0.00001
Anaerobutyricum hallii	39488	S	8514	1217	9731	0.00060
Anaerostipes hadrus	649756	S	5924	680	6604	0.00041
Anaerostipes caccae	105841	S	149	16	165	0.00001
Anaerostipes rhamnosivorans	1229621	S	129	16	145	0.00001
Butyrivibrio crossotus	45851	S	3820	509	4329	0.00027
Butyrivibrio fibrisolvens	831	S	334	25	359	0.00002
Butyrivibrio proteoclasticus	43305	S	167	26	193	0.00001
Butyrivibrio hungatei	185008	S	131	21	152	0.00001
Marvinbryantia formatexigens	168384	S	2882	53	2935	0.00018
Claveliimonas bilis	3028070	S	2212	150	2362	0.00015
Wujia chipingensis	2763670	S	2173	445	2618	0.00016
