name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	1227899	740325	1968224	0.13754
Faecalibacterium sp. I4-3-84	2929495	S	122155	151534	273689	0.01913
Faecalibacterium sp. I4-1-79	2929494	S	82115	68090	150205	0.01050
Faecalibacterium sp. HTF-F	2929491	S	76210	28927	105137	0.00735
Faecalibacterium sp. I3-3-33	2929492	S	74364	45256	119620	0.00836
Faecalibacterium sp. IP-1-18	2929488	S	47810	233530	281340	0.01966
Faecalibacterium sp. I3-3-89	2929493	S	38500	15696	54196	0.00379
Faecalibacterium sp. I2-3-92	2929490	S	30807	65319	96126	0.00672
Faecalibacterium sp. IP-3-29	2929489	S	26697	53588	80285	0.00561
Faecalibacterium duncaniae	411483	S	51568	106921	158489	0.01108
Vescimonas coprocola	2714355	S	69467	27298	96765	0.00676
Vescimonas fastidiosa	2714353	S	49194	18472	67666	0.00473
Dysosmobacter welbionis	2093857	S	86869	30709	117578	0.00822
Ruminococcus champanellensis	1161942	S	49407	1742	51149	0.00357
Ruminococcus sp. SR1/5	657323	S	3212	15646	18858	0.00132
Ruminococcus sp. FMB-CY1	2878202	S	20	6524	6544	0.00046
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	6628	466	7094	0.00050
Ruminococcus albus	1264	S	1688	11	1699	0.00012
Ruminococcus bovis	2564099	S	453	10	463	0.00003
Ruminococcus gauvreauii	438033	S	405	51	456	0.00003
Flavonifractor plautii	292800	S	61104	7315	68419	0.00478
Ruthenibacterium lactatiformans	1550024	S	44503	4488	48991	0.00342
Oscillibacter hominis	2763056	S	43406	5316	48722	0.00340
Lawsonibacter asaccharolyticus	2108523	S	35456	5185	40641	0.00284
Subdoligranulum variabile	214851	S	25898	3508	29406	0.00205
Pusillibacter faecalis	2714358	S	16976	2709	19685	0.00138
Anaerotruncus colihominis	169435	S	10331	2765	13096	0.00092
Solibaculum mannosilyticum	2780922	S	5877	1505	7382	0.00052
Acutalibacter muris	1796620	S	3387	85	3472	0.00024
Caproicibacterium sp. ZCY20-5	3030016	S	937	289	1226	0.00009
Caproicibacterium sp. BJN0003	2994078	S	416	61	477	0.00003
Caproicibacterium lactatifermentans	2666138	S	489	118	607	0.00004
Caproicibacterium amylolyticum	2766537	S	387	61	448	0.00003
Monoglobus pectinilyticus	1981510	S	2197	165	2362	0.00017
Agathobaculum sp. NTUH-O15-33	3079302	S	1781	21	1802	0.00013
Caproiciproducens sp. NJN-50	2507162	S	651	44	695	0.00005
uncultured Caproiciproducens sp.	1738647	S	497	7	504	0.00004
Ethanoligenens harbinense	253239	S	1108	43	1151	0.00008
Caproicibacter fermentans	2576756	S	1089	56	1145	0.00008
Paludicola sp. MB14-C6	3070656	S	660	6	666	0.00005
Mageeibacillus indolicus	884684	S	574	63	637	0.00004
Thermocaproicibacter melissae	2966552	S	535	15	550	0.00004
Amygdalobacter indicium	3029272	S	144	66	210	0.00001
Amygdalobacter nucleatus	3029274	S	119	56	175	0.00001
Ruminiclostridium papyrosolvens	29362	S	156	19	175	0.00001
Ruminiclostridium herbifermentans	2488810	S	86	26	112	0.00001
Ruminiclostridium cellulolyticum	1521	S	83	10	93	0.00001
Petroclostridium sp. X23	3045146	S	327	5	332	0.00002
Thermoclostridium stercorarium	1510	S	244	55	299	0.00002
Acetivibrio clariflavus	288965	S	84	42	126	0.00001
Acetivibrio thermocellus	1515	S	65	14	79	0.00001
Acetivibrio saccincola	1677857	S	41	16	57	0.00000
Pseudoclostridium thermosuccinogenes	84032	S	182	33	215	0.00002
Fastidiosipila sanguinis	236753	S	45	5	50	0.00000
Agathobacter rectalis	39491	S	358956	76061	435017	0.03040
Coprococcus eutactus	33043	S	115816	48119	163935	0.01146
Coprococcus sp. ART55/1	751585	S	24596	4190	28786	0.00201
Coprococcus catus	116085	S	19014	3985	22999	0.00161
Coprococcus comes	410072	S	6972	9428	16400	0.00115
Lachnospira eligens	39485	S	100127	7414	107541	0.00751
Roseburia hominis	301301	S	64640	15289	79929	0.00559
Roseburia intestinalis	166486	S	22880	15399	38279	0.00267
Roseburia rectibacter	2763062	S	1173	218	1391	0.00010
Blautia obeum	40520	S	23055	7229	30284	0.00212
Blautia wexlerae	418240	S	19854	8442	28296	0.00198
Blautia luti	89014	S	10285	3117	13402	0.00094
Blautia hydrogenotrophica	53443	S	10114	467	10581	0.00074
Blautia sp. SC05B48	2479767	S	5111	8364	13475	0.00094
Blautia hansenii	1322	S	1217	299	1516	0.00011
Blautia pseudococcoides	1796616	S	971	37	1008	0.00007
Blautia producta	33035	S	509	210	719	0.00005
Blautia liquoris	2779518	S	452	15	467	0.00003
Blautia parvula	2877527	S	399	66	465	0.00003
Blautia argi	1912897	S	381	55	436	0.00003
Blautia coccoides	1532	S	242	190	432	0.00003
Blautia massiliensis (ex Durand et al. 2017)	1737424	S	19	51486	51505	0.00360
Wujia chipingensis	2763670	S	71184	21948	93132	0.00651
Simiaoa sunii	2763672	S	56380	10836	67216	0.00470
Dorea longicatena	88431	S	31511	8597	40108	0.00280
Dorea formicigenerans	39486	S	4642	1616	6258	0.00044
[Ruminococcus] lactaris	46228	S	18553	2168	20721	0.00145
[Ruminococcus] torques	33039	S	12611	3812	16423	0.00115
Mediterraneibacter gnavus	33038	S	3924	2295	6219	0.00043
Enterocloster asparagiformis	333367	S	9338	273	9611	0.00067
Enterocloster bolteae	208479	S	5870	894	6764	0.00047
Enterocloster clostridioformis	1531	S	2350	564	2914	0.00020
[Clostridium] scindens	29347	S	8728	787	9515	0.00066
Lachnoclostridium phocaeense	1871021	S	4229	739	4968	0.00035
[Clostridium] hylemonae	89153	S	2852	252	3104	0.00022
Lachnoclostridium phytofermentans	66219	S	149	1	150	0.00001
Anaerobutyricum hallii	39488	S	14062	2068	16130	0.00113
Anaerostipes hadrus	649756	S	7612	1027	8639	0.00060
Anaerostipes rhamnosivorans	1229621	S	373	59	432	0.00003
Anaerostipes caccae	105841	S	248	36	284	0.00002
Claveliimonas bilis	3028070	S	4038	385	4423	0.00031
Butyrivibrio crossotus	45851	S	2730	399	3129	0.00022
Butyrivibrio fibrisolvens	831	S	382	23	405	0.00003
Butyrivibrio proteoclasticus	43305	S	184	20	204	0.00001
Butyrivibrio hungatei	185008	S	108	12	120	0.00001
Qiania dongpingensis	2763669	S	3333	256	3589	0.00025
Marvinbryantia formatexigens	168384	S	3247	93	3340	0.00023
Sellimonas intestinalis	1653434	S	2612	203	2815	0.00020
Wansuia hejianensis	2763667	S	2135	108	2243	0.00016
Lacrimispora saccharolytica	84030	S	1295	129	1424	0.00010
Lacrimispora xylanolytica	29375	S	383	12	395	0.00003
Lacrimispora sphenoides	29370	S	165	8	173	0.00001
Chordicoccus furentiruminis	2709410	S	1477	43	1520	0.00011
