name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Thermus sp. CCB_US3_UF1	0	0	0	0	0	0
Thermus oshimai	0	0	0	0	0	0
Thermus thermophilus	0	0	0	0	0	0
Meiothermus taiwanensis	1e-5	0	0	0	0	0
Meiothermus ruber	0	0	1e-5	0	0	0
Oceanithermus profundus	0	0	0	1e-5	0	0
Truepera radiovictrix	0	0	0	0	0	0
Roseiflexus castenholzii	1e-5	0	1e-5	0	0	1e-5
Roseiflexus sp. RS-1	0	0	1e-5	0	0	0
Chloroflexus aurantiacus	0	0	0	0	0	0
Anaerolinea thermophila	1e-5	0	0	0	0	0
Pelolinea submarina	1e-5	0	1e-5	0	1e-5	1e-5
Ktedonosporobacter rubrisoli	1e-5	0	0	0	0	0
Dehalococcoides mccartyi	1e-5	0	1e-5	0	1e-5	1e-5
Candidatus Promineifilum breve	0	0	0	0	0	1e-5
Tepidiforma bonchosmolovskayae	0	0	0	0	0	0
Tepidiforma flava	0	0	2e-5	0	1e-5	0
Caldilinea aerophila	0	0	1e-5	0	0	0
Thermoflexus hugenholtzii	0	0	0	0	0	0
Candidatus Mycoplasma mahonii	0	0	0	0	0	0
Candidatus Hepatoplasma crinochetorum	0	0	0	0	0	0
endosymbiont DhMRE of Dentiscutata heterogama	0	0	0	0	0	0
Acholeplasma laidlawii	0	0	1e-5	0	0	0
Paracholeplasma brassicae	0	0	0	0	0	0
Haploplasma axanthum	0	0	1e-5	0	0	0
Mycoplasmopsis californica	0	0	0	0	0	0
Mesomycoplasma dispar	0	0	0	0	0	0
Hujiaoplasma nucleasis	0	0	0	0	0	0
Capsulimonas corticalis	1e-5	0	3e-5	0	0	1e-5
Chthonomonas calidirosea	0	0	0	0	0	0
Sphaerobacter thermophilus	0	0	0	0	0	0
Vulcanimicrobium alpinum	0	0	1e-5	0	0	0
Bacteroides uniformis	0.04962	0.00892	0.0757	0.09921	0.04165	0.07968
Bacteroides eggerthii	0.02639	1.9e-4	0.02826	0.00598	0.00413	0.03134
Bacteroides thetaiotaomicron	0.01092	0.00239	0.0048	0.00914	0.0018600000000000001	0.00197
Bacteroides xylanisolvens	0.02483	0.01045	0.0099	0.00345	0.00428	0.01307
Bacteroides fragilis	0.00591	0.00366	0.00332	0.02706	0.01949	0.00306
Bacteroides caccae	0.00413	0.00982	0.01043	0.00883	0.00209	0.00156
Bacteroides ovatus	0.00618	0.00202	0.02669	0.0079	0.00518	0.0058
Bacteroides stercoris	0.00139	0.01897	0.0536	0.02533	1.1e-4	0.00144
Bacteroides sp. DH3716P	0.0034	0.0012	8.7e-4	5.4e-4	6.3e-4	7.2e-4
Bacteroides sp. A1C1	9.2e-4	0.001	0.00347	0.00293	7.8e-4	8.4e-4
Bacteroides sp. HF-162	0.00108	4.7e-4	0.0011	0.00211	0.00124	0.00103
Bacteroides sp. CACC 737	2.4e-4	0.00122	8.8e-4	9.5e-4	5.6e-4	5.3e-4
Bacteroides sp. D2	6e-5	7e-5	6e-5	1.2e-4	2e-5	5e-5
Bacteroides sp. M10	3e-5	1e-4	1e-4	1e-4	3e-5	2.1e-4
Bacteroides sp.	2e-5	0	1e-5	0	0	3e-5
Bacteroides sp. PHL 2737	0.00155	0	8.7e-4	0.00782	0.00147	0.00141
Bacteroides sp. ZJ-18	1e-5	1e-5	3e-5	7e-5	2e-5	2e-5
Bacteroides sp. BFG-637	1.1e-4	0	0	0	0	2.2e-4
Bacteroides humanifaecis	0.00401	3.4e-4	0.00168	0.00465	8.5e-4	7.3e-4
Bacteroides faecis	8e-4	4.5e-4	0.01277	8.9e-4	3.1e-4	0.00455
Bacteroides salyersiae	4.5e-4	1.3e-4	0.00101	0.00113	4.5e-4	3.8e-4
Bacteroides zhangwenhongii	4e-4	0.0019	6e-4	3.2e-4	1.1e-4	1.7e-4
Bacteroides caecimuris	3.6e-4	4.2e-4	0.00119	8.5e-4	1e-4	2.2e-4
Bacteroides nordii	2.7e-4	2.5e-4	2.3e-4	0.00128	1.7e-4	3e-4
Bacteroides cellulosilyticus	2.9e-4	6e-5	0.00346	7.2e-4	0.00217	3.5e-4
Bacteroides intestinalis	1.7e-4	1e-5	0.00113	5e-5	5e-5	3e-5
Bacteroides zoogleoformans	1.7e-4	1e-5	3.1e-4	6e-5	3e-5	6e-5
Bacteroides finegoldii	2.1e-4	0.0139	1.4e-4	6.7e-4	1e-5	8e-5
Bacteroides helcogenes	1.1e-4	3e-5	2.3e-4	8e-5	2e-5	5e-5
Bacteroides heparinolyticus	7e-5	1e-5	2.6e-4	7e-5	1e-5	3e-5
Bacteroides faecium	6e-5	1.2e-4	1.6e-4	8e-5	2e-5	5e-5
uncultured Bacteroides sp.	6e-5	7e-5	5.1e-4	3.3e-4	1e-5	5e-5
Bacteroides luhongzhouii	5e-5	7e-5	4e-5	8e-5	3e-5	2e-5
Bacteroides graminisolvens	1e-5	0	7e-5	4e-5	0	1e-5
Bacteroides coprosuis	1e-5	0	4e-5	5e-5	2e-5	1e-5
Phocaeicola vulgatus	0.091	0.05033	0.03593	0.07091	0.01217	0.015
Phocaeicola dorei	0.03292	0.00262	0.01118	0.06726	0.01601	0.01021
Phocaeicola coprophilus	9.9e-4	1.9e-4	0.00662	0.00576	7e-5	0.00435
Phocaeicola salanitronis	2.8e-4	6e-5	0.00305	0.00166	1.1e-4	8.7e-4
Alistipes onderdonkii	0.09672	0.03098	0.04073	0.0158	0.00693	0.01346
Alistipes communis	0.01936	0.00162	0.0106	0.05205	0.02537	0.03754
Alistipes finegoldii	0.02106	5.8e-4	0.00264	0.04305	0.00943	0.03944
Alistipes dispar	0.00703	0.0018600000000000001	0.00205	0.00435	0.02009	0.00211
Alistipes ihumii	0.00536	1e-5	0.00196	0.01353	0.00496	2.5e-4
Alistipes senegalensis	0.0045	2.7e-4	0.00752	0.00115	0.00538	0.00915
Alistipes shahii	0.00388	0.00268	0.01331	0.05765	0.00653	0.06152
Alistipes megaguti	0.00193	2.5e-4	0.00189	0.0026	0.02646	0.00118
Alistipes indistinctus	5.1e-4	7.4e-4	4.3e-4	0.00108	2.7e-4	9.2e-4
uncultured Alistipes sp.	4.9e-4	1e-4	4.4e-4	2.6e-4	0.00786	8.9e-4
Alistipes sp. dk3624	1.1e-4	0	6e-4	0.00441	1.4e-4	0.00254
uncultured Acetobacteroides sp.	2e-5	2e-5	2e-5	0	1e-5	1e-5
Parabacteroides distasonis	0.01802	0.02058	0.01074	0.00998	0.00948	0.01358
Parabacteroides johnsonii	0.00835	2.7e-4	6.1e-4	0.00583	7.8e-4	4.5e-4
Parabacteroides chongii	6.4e-4	2e-5	3.6e-4	3e-5	1e-5	3e-5
Parabacteroides merdae	8.3e-4	0.02563	0.00408	0.00107	0.05258	0.00973
Parabacteroides goldsteinii	3e-4	1e-4	0.002	1e-4	3e-5	5.4e-4
Parabacteroides faecis	2e-5	6e-5	1.1e-4	4.7e-4	1.2e-4	3e-5
Parabacteroides sp. CT06	5.3e-4	1.4e-4	7.2e-4	2.9e-4	8e-4	0.00268
Tannerella serpentiformis	7e-5	0	5e-5	2e-5	4e-5	3e-5
Tannerella forsythia	2e-5	0	1.1e-4	1e-5	1e-5	2e-5
Prevotella sp. oral taxon 475	1.5e-4	1e-5	2.1e-4	1.2e-4	0	5e-5
Prevotella sp. E13-17	2.2e-4	9e-5	1.6e-4	5e-5	0	6e-5
Prevotella sp. E9-3	1.4e-4	1.1e-4	1.6e-4	6.3e-4	2e-5	5e-5
Prevotella sp. Rep29	8e-5	3e-5	1e-4	3.6e-4	0	5e-5
Prevotella sp. E15-22	1.2e-4	5e-5	1.1e-4	6e-5	0	3e-5
Prevotella sp. E2-28	7e-5	8e-5	7e-5	6e-5	1e-5	4e-5
Prevotella sp. oral taxon 299	5e-5	2e-5	6e-5	6e-5	0	2e-5
Prevotella dentalis	4.3e-4	1.2e-4	3.2e-4	1.7e-4	4e-5	1.1e-4
Prevotella corporis	2.5e-4	6e-5	1.5e-4	1e-4	3e-5	5e-5
Prevotella denticola	4.6e-4	6e-5	4.9e-4	3e-4	2e-5	1.4e-4
Prevotella communis	1.8e-4	2.1e-4	1.8e-4	2.3e-4	2e-5	7e-5
Prevotella melaninogenica	2.7e-4	3.9e-4	3.3e-4	2.2e-4	1.2e-4	7e-5
Prevotella herbatica	9e-5	6e-5	8e-5	9e-5	0	3e-5
Prevotella intermedia	2.3e-4	1.7e-4	2.7e-4	1.9e-4	5e-5	8e-5
Prevotella nigrescens	2.4e-4	9e-5	3e-4	1.4e-4	1e-5	9e-5
Prevotella fusca	9e-5	1e-4	1.5e-4	6e-5	2e-5	3e-5
Prevotella multiformis	1.3e-4	4e-5	1.5e-4	1.1e-4	1e-5	6e-5
Prevotella jejuni	1.1e-4	1.3e-4	2.4e-4	7e-5	6e-5	3e-5
Prevotella veroralis	6e-5	1e-4	4e-5	3e-5	1e-5	2e-5
Prevotella histicola	4e-5	2e-5	5e-5	6e-5	0	2e-5
Prevotella bivia	2e-5	8e-5	4e-5	6e-5	3e-5	2e-5
Prevotella scopos	1e-5	9e-5	5e-5	2e-5	0	0
Segatella copri	0.00133	0.55816	0.00295	0.00623	0.46594	0.00562
Segatella hominis	3.3e-4	0.014880000000000001	1.5e-4	2.4e-4	0.00393	4.2e-4
Segatella oris	3e-5	1.4e-4	7e-5	4e-5	1e-5	3e-5
Segatella bryantii	2e-5	3.8e-4	3e-5	1.1e-4	5e-5	5e-5
Segatella baroniae	2e-5	8.3e-4	3e-5	1e-5	0	1e-5
Hoylesella enoeca	2.5e-4	3e-5	2.3e-4	1.6e-4	3e-5	6e-5
Hoylesella buccalis	0.00414	1.3e-4	0.00597	0.00118	7e-5	0.00127
Paraprevotella clara	2.5e-4	1.6e-4	0.00524	2.9e-4	8e-5	0.01598
Paraprevotella xylaniphila	1.2e-4	4e-5	0.0035	2.5e-4	4e-5	0.00294
Xylanibacter ruminicola	1.2e-4	1e-4	1.8e-4	1.2e-4	6e-5	4e-5
Pseudoprevotella muciniphila	6e-5	1e-5	7e-5	4e-5	0	2e-5
Butyricimonas virosa	0.00127	1e-5	0.00371	8.1e-4	1e-4	4.4e-4
Butyricimonas paravirosa	0.00146	0	0.0078	4.4e-4	0.0019	1.3e-4
Butyricimonas faecihominis	1.5e-4	1e-5	0.00128	8e-5	3.1e-4	4.3e-4
Butyricimonas faecalis	1e-4	5e-5	6e-4	8e-5	1.6e-4	1.2e-4
Odoribacter splanchnicus	0.00265	8.6e-4	0.01256	0.00431	0.0023	0.00117
Sodaliphilus pleomorphus	0.00105	1e-4	1.7e-4	1.4e-4	2e-5	8e-5
Muribaculum gordoncarteri	4.4e-4	1.8e-4	1.3e-4	2e-5	2e-5	3e-5
Muribaculum intestinale	2.2e-4	0	1.7e-4	3e-5	6e-5	6e-5
Duncaniella dubosii	1.6e-4	3.8e-4	4e-5	4e-5	1e-5	8e-5
Paramuribaculum intestinale	3e-4	0	1.3e-4	8e-5	3e-5	6e-5
Barnesiella viscericola	6.4e-4	1.3e-4	0.00101	0.00093000000000000005	7.3e-4	0.00148
Coprobacter secundus	1.9e-4	1e-5	8.4e-4	1.7e-4	1e-5	1.3e-4
Coprobacter fastidiosus	1e-4	1.7e-4	1.8e-4	0.00204	2e-5	3.9e-4
Porphyromonas gingivalis	1.7e-4	7e-5	1e-4	4e-5	3e-5	3e-5
Porphyromonas sp. oral taxon 275	3e-5	0	4e-5	2e-5	4e-5	2e-5
Porphyromonas cangingivalis	2e-5	0	5e-5	0	0	0
Porphyromonas somerae	2e-5	3.3e-4	9e-5	1.3e-4	4e-5	8e-5
Porphyromonas asaccharolytica	1e-5	3e-5	1e-5	0	1e-5	1e-5
Porphyromonas crevioricanis	1e-5	0	3e-5	1e-5	1e-5	1e-5
Porphyromonas endodontalis	1e-5	0	1e-5	1e-5	0	1e-5
uncultured Macellibacteroides sp.	4e-5	1e-5	6e-5	4e-5	1e-5	1e-5
Proteiniphilum saccharofermentans	6e-5	3e-5	3e-5	2.4e-4	1e-5	1e-5
Proteiniphilum propionicum	1e-5	0	1e-5	3e-5	0	0
Petrimonas mucosa	2e-5	0	5e-5	6e-5	1.4e-4	1e-5
Dysgonomonas sp. HDW5B	1e-5	0	1e-5	1e-5	0	0
Dysgonomonas sp. HDW5A	1e-5	1e-5	3e-5	1e-5	0	0
Tenuifilum thalassicum	1e-5	0	0	0	1e-5	0
Paludibacter propionicigenes	0	1e-5	2e-5	0	0	0
Mangrovibacterium marinum	5e-5	0	3e-5	3e-5	2e-5	2e-5
uncultured Draconibacterium sp.	2e-5	0	6e-5	4e-5	1e-5	2e-5
Draconibacterium orientale	0	2e-5	2e-5	0	2e-5	0
Aquipluma nitroreducens	2e-5	0	1e-5	2e-5	0	0
Maribellus comscasis	1e-5	0	1e-5	0	0	0
uncultured Sunxiuqinia sp.	0	0	0	0	0	0
Alkaliflexus sp. Ai-910	1e-5	0	2e-5	1e-5	0	0
uncultured Carboxylicivirga sp.	0	1e-5	1e-5	1e-5	0	0
Marinifilum fragile	1e-5	0	2e-5	1e-5	0	0
uncultured Marinifilum sp.	0	0	1e-5	0	0	0
Hymenobacter sp. BT18	2e-5	0	0	1e-5	1e-5	1e-5
Hymenobacter sp. DG01	2e-5	0	1e-5	0	0	0
Hymenobacter sp. YIM 151500-1	2e-5	1e-5	1e-5	0	0	1e-5
Hymenobacter sp. BRD67	2e-5	0	2e-5	2e-5	0	0
Hymenobacter sp. NBH84	2e-5	0	0	0	0	0
Hymenobacter sp. PAMC 26628	1e-5	0	1e-5	0	0	1e-5
Hymenobacter sp. YIM 151858-1	1e-5	0	1e-5	0	0	0
Hymenobacter sp. DG25A	1e-5	0	1e-5	0	0	0
Hymenobacter sp. BRD128	0	0	0	0	1e-5	0
Hymenobacter sp. HDW8	0	0	1e-5	0	0	0
Hymenobacter sp. 5317J-9	0	0	1e-5	0	1e-5	0
Hymenobacter radiodurans	1e-4	0	7e-5	1e-5	0	2e-5
Hymenobacter tibetensis	2e-5	0	1e-5	0	0	1e-5
Hymenobacter qilianensis	2e-5	0	1e-5	0	1e-5	1e-5
Hymenobacter aerilatus	1e-5	0	1e-5	1e-5	1e-5	1e-5
Hymenobacter nivis	1e-5	1e-5	1e-5	1e-5	1e-5	0
Hymenobacter oligotrophus	1e-5	0	1e-5	1e-5	1e-5	0
Hymenobacter busanensis	1e-5	0	1e-5	0	0	0
Hymenobacter jejuensis	0	0	1e-5	1e-5	2e-5	1e-5
Hymenobacter volaticus	0	7e-5	0	0	0	0
Hymenobacter cellulosivorans	0	0	0	0	1e-5	0
Hymenobacter baengnokdamensis	1e-5	0	0	0	0	0
Hymenobacter sediminicola	0	0	0	1e-5	0	0
Hymenobacter sedentarius	0	1e-5	1e-5	0	0	0
Hymenobacter cellulosilyticus	0	0	1e-5	0	4e-5	0
Hymenobacter canadensis	0	0	1e-5	0	0	0
Hymenobacter swuensis	0	0	1e-5	0	0	1e-5
Pontibacter russatus	2e-5	0	1e-5	1e-5	3e-5	2e-5
Pontibacter actiniarum	2e-5	0	1e-5	0	0	0
Pontibacter kalidii	1e-5	0	4e-5	0	3e-5	1e-5
Pontibacter sp. SGAir0037	1e-5	0	1e-5	1e-5	0	0
Pontibacter sp. G13	0	0	0	0	0	0
Pontibacter akesuensis	0	0	1e-5	0	0	0
Adhaeribacter radiodurans	0	0	0	0	0	1e-5
Rufibacter radiotolerans	0	0	0	0	0	0
Spirosoma rhododendri	1e-5	0	1e-5	0	1e-5	2e-5
Spirosoma montaniterrae	1e-5	0	1e-5	1e-5	1e-5	1e-5
Spirosoma pollinicola	1e-5	0	1e-5	0	0	0
Spirosoma oryzicola	1e-5	0	0	0	1e-5	0
Spirosoma taeanense	0	0	0	0	0	0
Spirosoma sp. KUDC1026	0	0	0	0	0	0
Spirosoma sp. KCTC 42546	0	0	0	0	0	0
Spirosoma rigui	0	0	1e-5	0	0	0
Spirosoma endbachense	0	0	0	0	0	0
Spirosoma radiotolerans	0	0	0	0	1e-5	0
Tellurirhabdus rosea	1e-5	0	2e-5	0	2e-5	0
Rhodocytophaga rosea	1e-5	0	1e-5	0	1e-5	1e-5
Cytophaga hutchinsonii	0	0	0	0	0	0
Dyadobacter pollutisoli	1e-5	0	2e-5	2e-5	0	0
Dyadobacter chenhuakuii	0	0	0	0	0	0
Dyadobacter sandarakinus	0	0	0	0	1e-5	0
Dyadobacter chenwenxiniae	0	0	1e-5	0	0	1e-5
Dyadobacter fermentans	0	0	1e-5	0	2e-5	0
Runella sp. SP2	0	0	0	0	0	0
Runella slithyformis	1e-5	0	1e-5	0	0	0
Emticicia sp. 21SJ11W-3	1e-5	0	0	0	0	0
Fibrella aestuarina	0	0	1e-5	0	0	0
Fulvivirga maritima	2e-5	0	2e-5	1e-5	1e-5	1e-5
Chryseolinea soli	0	0	0	0	1e-5	0
Algoriphagus sp. Y33	0	0	1e-5	0	0	0
Algoriphagus sp. NG3	0	0	0	0	0	0
Algoriphagus machipongonensis	0	0	0	0	1e-5	0
Algoriphagus sanaruensis	0	0	0	0	0	0
Echinicola strongylocentroti	0	0	0	0	0	0
Echinicola vietnamensis	0	0	0	0	0	0
Echinicola rosea	0	0	0	1e-5	0	0
Aquiflexum balticum	0	0	0	0	0	0
Flammeovirga pectinis	0	0	0	1e-5	0	0
Marivirga sp. BDSF4-3	0	0	0	0	0	0
Marivirga tractuosa	0	0	1e-5	0	0	0
Roseivirga spongicola	0	0	1e-5	0	0	0
Flavobacterium sp. F-29	2e-5	0	2e-5	1e-5	0	0
Flavobacterium sp. N1719	0	0	0	0	1e-5	0
Flavobacterium sp. F-70	1e-5	0	0	0	0	0
Flavobacterium sp. KACC 22758	1e-5	0	0	0	0	0
Flavobacterium sp. N1846	0	0	0	0	0	0
Flavobacterium sp. KBS0721	0	0	0	0	0	0
Flavobacterium sp. N2270	0	0	0	0	0	0
Flavobacterium album	1e-5	0	1e-5	0	0	1e-5
Flavobacterium nitratireducens	1e-5	0	0	0	0	0
Flavobacterium sediminis	1e-5	0	0	0	1e-5	0
Flavobacterium dauae	0	0	0	0	0	0
Flavobacterium branchiophilum	0	0	0	0	0	0
Flavobacterium inviolabile	0	0	0	0	1e-5	0
Flavobacterium alkalisoli	0	0	1e-5	0	0	0
Flavobacterium gilvum	0	0	0	0	0	0
Flavobacterium ardleyense	0	0	0	0	0	0
Flavobacterium haoranii	0	0	0	0	0	0
Flavobacterium magnum	0	0	0	0	1e-5	0
Flavobacterium aestivum	0	0	0	0	0	0
Flavobacterium crassostreae	0	0	0	0	0	0
Flavobacterium anhuiense	0	0	0	0	0	0
Nonlabens sp. Hel1_33_55	2e-5	0	0	0	0	0
Robiginitalea biformata	2e-5	0	1e-5	0	0	1e-5
Capnocytophaga sp. oral taxon 878	1e-5	1e-5	0	0	0	0
Capnocytophaga gingivalis	0	0	0	0	0	0
Capnocytophaga cynodegmi	0	0	0	0	0	0
Formosa sediminum	2e-5	0	1e-5	2e-5	0	1e-5
Christiangramia fulva	1e-5	0	0	0	1e-5	1e-5
Gramella sp. MAR_2010_147	0	0	1e-5	2e-5	0	0
Cellulophaga algicola	0	0	0	0	0	0
Cellulophaga sp. HaHa_2_1	0	0	0	0	0	0
Cellulophaga omnivescoria	0	0	0	0	0	0
Amniculibacterium sp. G2-70	2e-5	0	1e-5	0	0	0
Aquimarina sp. Aq107	0	0	0	0	0	0
Aquimarina sp. BL5	0	0	0	0	0	0
Aestuariibaculum lutulentum	1e-5	0	0	0	0	0
Muriicola soli	1e-5	0	0	0	0	0
Aequorivita sp. H23M31	0	0	0	0	0	1e-5
Aequorivita sp. Ant34-E75	0	0	0	0	0	0
Allomuricauda sp.	0	0	0	0	0	0
Muricauda sp. SCSIO 64092	0	0	0	0	0	0
Allomuricauda oceani	0	0	0	0	0	0
Polaribacter sp. KT 15	0	0	0	0	0	0
Polaribacter haliotis	0	0	0	0	0	0
Galbibacter sp. BG1	0	0	0	0	0	0
Maribacter aestuarii	0	0	0	0	0	0
Urechidicola croceus	0	0	0	0	0	0
Gilvibacter sp. SZ-19	0	3e-5	0	0	0	0
Flagellimonas sp. CMM7	0	0	0	0	0	0
Myroides phaeus	0	0	0	0	0	0
Zobellia laminariae	0	0	0	0	0	0
Paenimyroides cloacae	0	0	0	0	0	0
Candidatus Arcticimaribacter forsetii	0	0	0	0	0	0
Hwangdonia sp. SCSIO 19198	0	0	1e-5	0	0	0
Lacinutrix venerupis	0	0	0	0	0	0
Changchengzhania lutea	0	0	0	0	0	0
Salegentibacter salegens	0	0	0	0	0	0
Leeuwenhoekiella palythoae	0	0	0	0	0	0
Aureibaculum algae	0	0	0	0	0	0
Chryseobacterium camelliae	1e-5	0	1e-5	0	1e-5	2e-5
Chryseobacterium sp. T16E-39	0	0	0	0	0	0
Chryseobacterium sp.	0	0	1e-5	0	0	0
Chryseobacterium sp. JJR-5R	0	0	0	0	0	0
Chryseobacterium oryzae	1e-5	0	1e-5	2e-5	0	0
Chryseobacterium indoltheticum	0	0	1e-5	1e-5	0	0
Chryseobacterium glaciei	0	0	1e-5	1e-5	0	0
Chryseobacterium indologenes	0	3e-5	1e-5	1e-5	2e-5	0
Chryseobacterium carnipullorum	0	0	0	0	0	0
Chryseobacterium aureum	0	0	0	0	0	0
Chryseobacterium oranimense	0	0	0	0	0	0
Chryseobacterium arthrosphaerae	0	0	1e-5	0	0	0
Chryseobacterium panacisoli	0	0	0	0	0	0
Kaistella jeonii	0	0	0	0	0	0
Candidatus Kaistella beijingensis	0	1e-5	0	0	0	0
Ornithobacterium rhinotracheale	5e-5	0	9e-5	1e-5	0	0
Elizabethkingia anophelis	4e-5	0	1e-5	0	0	0
Weeksella virosa	0	0	0	0	0	0
Riemerella anatipestifer	0	0	0	0	0	1e-5
Cruoricaptor ignavus	0	0	0	0	0	0
Blattabacterium cuenoti	1e-5	0	1e-5	0	0	1e-5
Candidatus Karelsulcia muelleri	0	0	0	0	0	0
Pedobacter sp. G11	3e-5	0	1e-5	2e-5	0	0
Pedobacter sp. SL55	0	0	0	0	0	0
Pedobacter schmidteae	2e-5	0	1e-5	1e-5	0	0
Pedobacter suwonensis	2e-5	0	1e-5	0	0	0
Pedobacter cryoconitis	1e-5	0	0	0	0	0
Mucilaginibacter sp. 5C4	0	0	1e-5	0	0	0
Mucilaginibacter sp. 14171R-50	0	0	0	0	0	0
Mucilaginibacter sp. SMC90	0	0	0	1e-5	0	0
Mucilaginibacter sp. 21P	0	0	1e-5	0	0	0
Mucilaginibacter paludis	1e-5	0	1e-5	0	0	0
Mucilaginibacter rubeus	3e-5	0	2e-5	0	0	0
Mucilaginibacter jinjuensis	0	0	0	0	0	0
Mucilaginibacter ginsenosidivorans	0	0	1e-5	0	1e-5	0
Mucilaginibacter daejeonensis	0	0	1e-5	0	0	0
Mucilaginibacter gotjawali	0	0	1e-5	0	0	0
Mucilaginibacter mallensis	0	0	0	0	0	0
Mucilaginibacter mali	0	0	0	0	1e-5	1e-5
Mucilaginibacter sabulilitoris	0	0	0	0	0	0
Sphingobacterium sp. UGAL515B_05	0	0	0	0	0	0
Sphingobacterium sp. DR205	0	0	0	0	0	0
Sphingobacterium sp. BN32	0	0	0	0	0	0
Sphingobacterium sp. CZ-2	0	0	0	0	0	0
Sphingobacterium sp. LZ7M1	0	0	0	0	0	0
Sphingobacterium sp. WM	0	1e-5	0	1e-5	0	0
Sphingobacterium daejeonense	0	0	1e-5	1e-5	0	0
Sphingobacterium psychroaquaticum	0	0	0	0	0	0
Sphingobacterium multivorum	0	0	1e-5	1e-5	0	0
Sphingobacterium spiritivorum	0	0	0	0	0	0
Solitalea lacus	0	0	0	0	0	0
Olivibacter sp. LS-1	0	0	0	0	0	0
Chitinophaga horti	2e-5	1e-5	3e-5	3e-5	0	1e-5
Chitinophaga oryzae	1e-5	0	1e-5	0	0	0
Chitinophaga sp. XS-30	0	0	0	0	0	0
Chitinophaga alhagiae	0	0	0	0	1e-5	1e-5
Chitinophaga filiformis	0	0	3e-5	0	0	0
Niabella soli	2e-5	3e-5	2e-5	1e-5	0	0
Niabella ginsenosidivorans	0	0	1e-5	1e-5	0	0
Arachidicoccus sp. B3-10	1e-5	0	0	0	0	0
Arachidicoccus soli	0	0	1e-5	1e-5	1e-5	0
Arachidicoccus terrestris	0	0	0	0	0	0
Phnomibacter ginsenosidimutans	1e-5	0	0	0	0	0
Lacibacter sediminis	0	0	0	0	0	0
Flavisolibacter ginsenosidimutans	0	0	0	0	0	0
Niastella koreensis	0	0	1e-5	0	0	0
Pseudobacter ginsenosidimutans	0	0	0	0	0	0
Paraflavitalea soli	0	0	0	0	0	0
Paraflavitalea speifideiaquila	0	0	1e-5	0	0	0
Flavihumibacter rivuli	0	0	0	0	0	0
Pseudocnuella soli	0	0	0	0	0	0
Filimonas lacunae	0	0	1e-5	0	0	0
Aureispira sp. CCB-E	1e-5	0	1e-5	0	0	0
Haliscomenobacter hydrossis	0	0	0	0	0	0
Candidatus Sulfidibacterium hydrothermale	0	0	0	0	0	0
Chlorobaculum sp. MV4-Y	1e-5	0	0	0	1e-5	0
Chlorobaculum tepidum	1e-5	0	0	0	1e-5	0
Chlorobaculum parvum	0	0	0	0	0	0
Chlorobaculum limnaeum	0	0	1e-5	0	0	0
Pelodictyon phaeoclathratiforme	1e-5	0	0	0	0	0
Pelodictyon luteolum	0	0	0	0	0	0
Chlorobium limicola	1e-5	0	1e-5	0	0	1e-5
Chlorobium phaeovibrioides	0	0	0	0	0	0
Prosthecochloris sp. GSB1	0	0	0	0	0	0
Prosthecochloris sp. HL-130-GSB	0	0	0	0	0	0
Prosthecochloris sp. CIB 2401	0	0	1e-5	0	0	0
Prosthecochloris aestuarii	0	0	0	0	0	0
Chloroherpeton thalassium	0	0	0	0	0	0
Salinibacter ruber	1e-5	0	1e-5	0	1e-5	1e-5
Rhodothermus marinus	0	0	1e-5	0	1e-5	0
Rhodocaloribacter litoris	0	0	0	0	1e-5	0
Cyclonatronum proteinivorum	0	0	1e-5	0	0	0
Fibrobacter succinogenes	2e-5	0	1e-5	0	0	1e-5
Gemmatimonas aurantiaca	1e-5	0	0	0	0	0
Gemmatimonas groenlandica	0	0	0	0	0	0
Gemmatirosa kalamazoonensis	0	0	1e-5	0	0	1e-5
Klebsiella grimontii	9e-5	9e-5	6e-5	2.8e-4	8e-5	1e-4
Klebsiella aerogenes	1e-5	0	0	0	0	1e-5
Klebsiella oxytoca	1e-5	0	0	0	0	1.6e-4
Klebsiella electrica	0	0	0	0	0	0
Klebsiella pneumoniae	3e-5	1.1e-4	8e-5	6e-5	8e-5	3e-5
Klebsiella michiganensis	1e-5	0	1e-5	0	1.4e-4	0
Klebsiella variicola	0	0	1e-5	0	0	1e-5
Klebsiella quasipneumoniae	0	0	2e-5	0	3e-5	1e-5
Raoultella planticola	0	0	0	0	0	0
Raoultella sp. HC6	0	0	0	0	0	0
Citrobacter braakii	3e-5	0	2e-5	1e-5	0	2e-5
Citrobacter freundii	0	0	3e-5	1e-5	0	1e-5
Citrobacter portucalensis	0	0	0	0	0	0
Citrobacter farmeri	0	0	0	0	0	0
Escherichia coli	2e-4	4.4e-4	0.03922	0.00217	1.7e-4	0.00134
Escherichia marmotae	0	1e-5	1e-5	0	0	0
Escherichia fergusonii	0	0	3e-5	0	0	0
Escherichia albertii	0	0	4e-5	0	1e-5	0
Enterobacter cloacae	0	0	0	0	0	0
Enterobacter asburiae	0	0	1e-5	0	2e-5	1e-5
Enterobacter hormaechei	1e-5	1e-5	2e-5	1e-5	1.4e-4	1e-5
Enterobacter roggenkampii	0	0	0	0	0	0
Enterobacter sp. SA187	0	0	0	0	0	0
Enterobacter sp. C2	0	0	0	0	0	0
Enterobacter mori	0	0	0	0	0	0
