name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Coprococcus eutactus	2.5e-4	1e-5	0.01146	5e-5	1.2e-4	9e-5
[Ruminococcus] torques	0.00117	4.5e-4	0.00115	1.9e-4	1.4e-4	0.00093000000000000005
[Ruminococcus] lactaris	0.00101	2e-5	0.00145	5e-5	2e-5	6.6e-4
Mediterraneibacter gnavus	4.4e-4	8.3e-4	4.3e-4	2.5e-4	5e-5	4.2e-4
Enterocloster asparagiformis	0.0015	1e-4	6.7e-4	2.5e-4	2e-4	6.1e-4
Enterocloster bolteae	4.9e-4	4.1e-4	4.7e-4	2.3e-4	1.3e-4	3.3e-4
Enterocloster clostridioformis	1.5e-4	1.3e-4	2e-4	6e-5	2e-4	1.6e-4
Dorea formicigenerans	5.9e-4	3e-5	4.4e-4	1e-4	4e-5	1.1e-4
Dorea longicatena	4.3e-4	3.2e-4	0.0028	2.3e-4	8e-5	2.9e-4
[Clostridium] scindens	5.1e-4	5e-5	6.6e-4	1.1e-4	6e-5	3.7e-4
Lachnoclostridium phocaeense	1.7e-4	1e-5	3.5e-4	4e-5	2e-5	1.4e-4
[Clostridium] hylemonae	5e-5	3e-5	2.2e-4	3e-5	1e-5	1.3e-4
Lachnoclostridium phytofermentans	1e-5	0	1e-5	0	0	0
Anaerobutyricum hallii	6e-4	5e-5	0.00113	3.9e-4	7e-5	3e-4
Anaerostipes hadrus	4.1e-4	8e-5	6e-4	1.3e-4	9e-5	3.5e-4
Anaerostipes caccae	1e-5	0	2e-5	0	0	1e-5
Anaerostipes rhamnosivorans	1e-5	1e-5	3e-5	0	0	1e-5
Butyrivibrio crossotus	2.7e-4	2e-5	2.2e-4	1.2e-4	7e-5	0.00813
Butyrivibrio fibrisolvens	2e-5	0	3e-5	0	0	1e-5
Butyrivibrio proteoclasticus	1e-5	0	1e-5	0	0	1e-5
Butyrivibrio hungatei	1e-5	1e-5	1e-5	0	0	0
Marvinbryantia formatexigens	1.8e-4	3e-5	2.3e-4	4e-5	2e-5	1.2e-4
Claveliimonas bilis	1.5e-4	1e-5	3.1e-4	3e-5	1e-5	1e-4
Wujia chipingensis	1.6e-4	1e-5	0.00651	5e-5	0.00545	4.5e-4
Wansuia hejianensis	1.3e-4	1e-5	1.6e-4	2e-5	6e-5	7e-5
Lacrimispora saccharolytica	5e-5	1e-5	1e-4	1e-5	2e-5	2e-5
Lacrimispora sphenoides	2e-5	1e-5	1e-5	1e-5	1e-5	1e-5
Lacrimispora xylanolytica	1e-5	1e-5	3e-5	0	0	1e-5
Chordicoccus furentiruminis	8e-5	1e-5	1.1e-4	4e-5	2e-5	1.1e-4
Qiania dongpingensis	6e-5	1e-5	2.5e-4	3e-5	2e-5	7e-5
