name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Butyricimonas faecalis	2093856	S	907	178	1085	0.00005
Butyricimonas virosa	544645	S	150	9	159	0.00001
Butyricimonas faecihominis	1472416	S	115	19	134	0.00001
Butyricimonas paravirosa	1472417	S	28	5	33	0.00000
Duncaniella dubosii	2518971	S	7138	1303	8441	0.00038
Muribaculum gordoncarteri	2530390	S	2806	1235	4041	0.00018
Muribaculum intestinale	1796646	S	55	7	62	0.00000
Sodaliphilus pleomorphus	2606626	S	2206	47	2253	0.00010
Paramuribaculum intestinale	2094151	S	54	11	65	0.00000
Porphyromonas somerae	322095	S	7002	197	7199	0.00033
Porphyromonas gingivalis	837	S	1339	293	1632	0.00007
Porphyromonas asaccharolytica	28123	S	703	2	705	0.00003
Porphyromonas endodontalis	28124	S	59	2	61	0.00000
Porphyromonas sp. oral taxon 275	712435	S	31	0	31	0.00000
Porphyromonas crevioricanis	393921	S	27	0	27	0.00000
uncultured Macellibacteroides sp.	1243007	S	207	0	207	0.00001
Coprobacter fastidiosus	1099853	S	3564	151	3715	0.00017
Coprobacter secundus	1501392	S	158	13	171	0.00001
Barnesiella viscericola	397865	S	2675	252	2927	0.00013
Proteiniphilum saccharofermentans	1642647	S	573	1	574	0.00003
Proteiniphilum propionicum	2829812	S	40	0	40	0.00000
Dysgonomonas sp. HDW5A	2714926	S	66	61	127	0.00001
Petrimonas mucosa	1642646	S	65	0	65	0.00000
Candidatus Azobacteroides pseudotrichonymphae	511435	S	204	1	205	0.00001
Paludibacter propionicigenes	185300	S	115	2	117	0.00001
Salinivirga cyanobacteriivorans	1307839	S	17	0	17	0.00000
Draconibacterium orientale	1168034	S	431	11	442	0.00002
uncultured Draconibacterium sp.	1573823	S	37	0	37	0.00000
Mangrovibacterium marinum	1639118	S	36	0	36	0.00000
Aquipluma nitroreducens	2010828	S	15	0	15	0.00000
Maribellus comscasis	2681766	S	12	0	12	0.00000
uncultured Sunxiuqinia sp.	1573825	S	10	0	10	0.00000
uncultured Carboxylicivirga sp.	1628156	S	246	3	249	0.00001
Alkaliflexus sp. Ai-910	2949635	S	17	0	17	0.00000
Flavobacterium faecale	1355330	S	621	73	694	0.00003
Flavobacterium sp. KACC 22761	3092665	S	302	166	468	0.00002
Flavobacterium sp. K5-23	2746225	S	75	15	90	0.00000
Flavobacterium sp. N1719	2885633	S	41	2	43	0.00000
Flavobacterium sp. N1846	2986824	S	10	1	11	0.00000
Flavobacterium marginilacus	3003256	S	492	113	605	0.00003
Flavobacterium ammonificans	1751056	S	80	23	103	0.00000
Flavobacterium covae	2906076	S	73	101	174	0.00001
Flavobacterium gilvum	1492737	S	33	6	39	0.00000
Flavobacterium praedii	3002900	S	18	140	158	0.00001
Flavobacterium johnsoniae	986	S	13	36	49	0.00000
Flavobacterium psychrotrophum	2294119	S	13	0	13	0.00000
Flavobacterium anhuiense	459526	S	11	11	22	0.00000
Gilvibacter sp. SZ-19	754429	S	507	55	562	0.00003
Christiangramia flava	1486245	S	233	17	250	0.00001
Capnocytophaga sp. oral taxon 878	1316596	S	110	23	133	0.00001
Capnocytophaga stomatis	1848904	S	89	6	95	0.00000
Tenacibaculum tangerinum	3038772	S	198	11	209	0.00001
Formosa sp. Hel1_33_131	1336794	S	142	6	148	0.00001
Winogradskyella sp. PG-2	754409	S	103	6	109	0.00000
Winogradskyella forsetii	2686077	S	25	2	27	0.00000
Myroides sp. A21	1583100	S	36	18	54	0.00000
Myroides phaeus	702745	S	25	2	27	0.00000
Aequorivita sublithincola	101385	S	36	10	46	0.00000
Nonlabens sp. MB-3u-79	2058134	S	29	2	31	0.00000
Flagellimonas sp. CMM7	2654676	S	30	1	31	0.00000
Euzebyella marina	1761453	S	29	4	33	0.00000
Salegentibacter salegens	143223	S	23	1	24	0.00000
Leeuwenhoekiella palythoae	573501	S	21	3	24	0.00000
Antarcticibacterium arcticum	2585771	S	15	0	15	0.00000
Amniculibacterium sp. G2-70	2767188	S	20	26	46	0.00000
Gillisia sp. Hel1_33_143	1336796	S	15	1	16	0.00000
Abyssalbus ytuae	2926907	S	15	0	15	0.00000
Pukyongia salina	2094025	S	14	0	14	0.00000
Pseudalgibacter alginicilyticus	1736674	S	11	1	12	0.00000
Constantimarinum furrinae	2562285	S	10	0	10	0.00000
Mangrovimonas sp. YM274	3070660	S	10	0	10	0.00000
Chryseobacterium indologenes	253	S	561	125	686	0.00003
Chryseobacterium sp.	1871047	S	87	17	104	0.00000
Chryseobacterium sp. MEBOG06	2879938	S	19	3	22	0.00000
Chryseobacterium sp. 3008163	2478663	S	14	3	17	0.00000
Chryseobacterium turcicum	2898076	S	66	15	81	0.00000
Candidatus Kaistella beijingensis	2820270	S	122	12	134	0.00001
Ornithobacterium rhinotracheale	28251	S	61	5	66	0.00000
Elizabethkingia ursingii	1756150	S	22	10	32	0.00000
Cruoricaptor ignavus	1118202	S	33	1	34	0.00000
Apibacter raozihei	2500547	S	26	1	27	0.00000
Empedobacter brevis	247	S	11	8	19	0.00000
Faecalibacter sp. LW9	3103144	S	11	1	12	0.00000
Faecalibacter bovis	2898187	S	11	1	12	0.00000
Riemerella anatipestifer	34085	S	12	2	14	0.00000
Blattabacterium cuenoti	1653831	S	30	8	38	0.00000
Blattabacterium sp. (Cryptocercus kyebangensis)	298656	S	10	4	14	0.00000
Hymenobacter volaticus	2932254	S	1235	340	1575	0.00007
Hymenobacter sp. YIM 151500-1	2987689	S	203	70	273	0.00001
Hymenobacter sp. APR13	1356852	S	22	103	125	0.00001
Hymenobacter sedentarius	1411621	S	170	78	248	0.00001
Hymenobacter nivis	1850093	S	144	129	273	0.00001
Hymenobacter oligotrophus	2319843	S	26	20	46	0.00000
Hymenobacter busanensis	2607656	S	13	4	17	0.00000
Hymenobacter tibetensis	497967	S	11	3	14	0.00000
Nibribacter ruber	2698458	S	99	13	112	0.00001
Pontibacter russatus	2694929	S	26	0	26	0.00000
Dyadobacter sandarakinus	2747268	S	86	2	88	0.00000
Dyadobacter chenwenxiniae	2906456	S	39	2	41	0.00000
Dyadobacter sp. NIV53	2861765	S	12	0	12	0.00000
Runella slithyformis	106	S	67	2	69	0.00000
Emticicia oligotrophica	312279	S	23	0	23	0.00000
Larkinella insperata	332158	S	12	0	12	0.00000
Fibrella aestuarina	651143	S	11	0	11	0.00000
Bernardetia litoralis	999	S	172	1	173	0.00001
Algoriphagus sp. NBT04N3	2705473	S	43	0	43	0.00000
Algoriphagus sanaruensis	1727163	S	30	0	30	0.00000
Echinicola strongylocentroti	1795355	S	14	0	14	0.00000
Echinicola soli	2591634	S	12	0	12	0.00000
Spirosoma endbachense	2666025	S	22	2	24	0.00000
Chitinophaga pinensis	79329	S	470	8	478	0.00002
Chitinophaga sancti	1004	S	271	34	305	0.00001
Chitinophaga horti	2920382	S	165	0	165	0.00001
Chitinophaga sp. LS1	3051176	S	20	5	25	0.00000
Chitinophaga sp. HK235	2952571	S	18	0	18	0.00000
Chitinophaga agri	2703787	S	11	0	11	0.00000
Chitinophaga filiformis	104663	S	10	0	10	0.00000
Niabella soli	446683	S	677	1	678	0.00003
Niabella ginsenosidivorans	1176587	S	27	0	27	0.00000
Ferruginibacter albus	2875540	S	610	0	610	0.00003
Lacibacter sediminis	2760713	S	72	0	72	0.00000
Filimonas lacunae	477680	S	22	0	22	0.00000
Pseudocnuella soli	2502779	S	14	0	14	0.00000
Pseudobacter ginsenosidimutans	661488	S	11	0	11	0.00000
Sphingobacterium lactis	797291	S	346	196	542	0.00002
Sphingobacterium sp. WM	3031802	S	92	63	155	0.00001
Sphingobacterium sp. DR205	2713573	S	23	34	57	0.00000
Sphingobacterium thalpophilum	259	S	40	60	100	0.00000
Sphingobacterium spiritivorum	258	S	13	21	34	0.00000
Pedobacter roseus	336820	S	457	3	460	0.00002
Pedobacter sp. SL55	2995161	S	12	0	12	0.00000
Pedobacter ginsengisoli	363852	S	22	0	22	0.00000
Mucilaginibacter sp. 5C4	3048589	S	96	1	97	0.00000
Mucilaginibacter sp. KACC 22773	3025671	S	37	6	43	0.00000
Olivibacter sp. LS-1	2592345	S	20	0	20	0.00000
Melioribacter roseus	1134405	S	24	0	24	0.00000
Rhodocaloribacter litoris	2558931	S	20	0	20	0.00000
Candidatus Cloacimonas acidaminovorans	456827	S	187	0	187	0.00001
Sutterella faecalis	2584944	S	1870125	47557	1917682	0.08723
Sutterella wadsworthensis	40545	S	11785	267	12052	0.00055
Sutterella megalosphaeroides	2494234	S	11399	418	11817	0.00054
Duodenibacillus massiliensis	1852381	S	15238	264	15502	0.00071
Turicimonas muris	1796652	S	917	10	927	0.00004
Paraburkholderia sp. FT54	3074437	S	437	127	564	0.00003
Paraburkholderia sp. SOS3	1926494	S	96	15	111	0.00001
Paraburkholderia sp. PGU16	2735433	S	56	18	74	0.00000
Paraburkholderia pallida	2547399	S	494	83	577	0.00003
Paraburkholderia phymatum	148447	S	352	75	427	0.00002
Paraburkholderia phenoliruptrix	252970	S	233	54	287	0.00001
Paraburkholderia dokdonensis	2211211	S	144	37	181	0.00001
Paraburkholderia aromaticivorans	2026199	S	121	39	160	0.00001
Paraburkholderia acidisoli	2571748	S	72	14	86	0.00000
Paraburkholderia kirstenboschensis	1245436	S	22	5	27	0.00000
Paraburkholderia sabiae	273251	S	18	3	21	0.00000
Paraburkholderia caribensis	75105	S	16	6	22	0.00000
Burkholderia ubonensis	101571	S	613	538	1151	0.00005
Burkholderia pseudomultivorans	1207504	S	107	67	174	0.00001
Burkholderia contaminans	488447	S	87	90	177	0.00001
Burkholderia multivorans	87883	S	31	16	47	0.00000
Burkholderia sp. Bp7605	1740163	S	608	93	701	0.00003
Burkholderia sp. S-53	2906514	S	20	9	29	0.00000
Burkholderia sp. FERM BP-3421	1494466	S	20	3	23	0.00000
Burkholderia gladioli	28095	S	78	13	91	0.00000
Burkholderia savannae	1637837	S	21	19	40	0.00000
Burkholderia pseudomallei	28450	S	10	1986	1996	0.00009
Cupriavidus sp. P-10	2027911	S	438	137	575	0.00003
Cupriavidus sp. WKF15	3032282	S	176	32	208	0.00001
Cupriavidus pauculus	82633	S	516	129	645	0.00003
Cupriavidus campinensis	151783	S	318	75	393	0.00002
Cupriavidus taiwanensis	164546	S	190	103	293	0.00001
Cupriavidus oxalaticus	96344	S	48	14	62	0.00000
Cupriavidus necator	106590	S	15	7	22	0.00000
Cupriavidus gilardii	82541	S	11	3	14	0.00000
Cupriavidus pinatubonensis	248026	S	10	1	11	0.00000
Ralstonia solanacearum	305	S	806	400	1206	0.00005
Ralstonia mannitolilytica	105219	S	364	116	480	0.00002
Ralstonia insidiosa	190721	S	30	5	35	0.00000
Ralstonia pickettii	329	S	19	3	22	0.00000
Pandoraea apista	93218	S	368	48	416	0.00002
Pandoraea thiooxydans	445709	S	71	5	76	0.00000
Pandoraea norimbergensis	93219	S	37	3	40	0.00000
Polynucleobacter sp. MWH-P3-07-1	1743173	S	270	10	280	0.00001
Polynucleobacter necessarius	576610	S	24	0	24	0.00000
Caballeronia sp. TF1N1	2878153	S	48	57	105	0.00000
Mycetohabitans rhizoxinica	412963	S	58	3	61	0.00000
Achromobacter deleyi	1353891	S	518	1390	1908	0.00009
Achromobacter denitrificans	32002	S	391	635	1026	0.00005
Achromobacter xylosoxidans	85698	S	86	270	356	0.00002
Achromobacter sp. R39	3047478	S	45	38	83	0.00000
Achromobacter insolitus	217204	S	18	23	41	0.00000
Bordetella genomosp. 13	463040	S	52	204	256	0.00001
Bordetella sp. H567	1697043	S	16	93	109	0.00000
Pigmentiphaga sp. H8	2488560	S	173	61	234	0.00001
Pigmentiphaga aceris	1940612	S	52	7	59	0.00000
Orrella dioscoreae	1851544	S	44	43	87	0.00000
Variovorax paradoxus	34073	S	774	160	934	0.00004
Variovorax sp. PAMC26660	2762322	S	44	216	260	0.00001
Variovorax sp. PAMC 28711	1795631	S	10	26	36	0.00000
Variovorax boronicumulans	436515	S	64	22	86	0.00000
Rhodoferax sp. MIZ03	2798804	S	598	34	632	0.00003
Rhodoferax ferrireducens	192843	S	44	1	45	0.00000
Rhodoferax aquaticus	2527691	S	13	0	13	0.00000
Delftia sp. Cs1-4	742013	S	444	316	760	0.00003
Diaphorobacter sp. Y-1	3036128	S	46	325	371	0.00002
uncultured Hydrogenophaga sp.	199683	S	135	24	159	0.00001
Hydrogenophaga taeniospiralis	65656	S	110	17	127	0.00001
Hydrogenophaga crassostreae	1763535	S	53	2	55	0.00000
Comamonas sp. Y33R10-2	2853257	S	39	4	43	0.00000
Comamonas sp. NLF-1-9	2853163	S	22	11	33	0.00000
Comamonas sp. ZM22	3046670	S	18	10	28	0.00000
Comamonas aquatica	225991	S	43	15	58	0.00000
Paracidovorax avenae	80867	S	93	168	261	0.00001
Paracidovorax cattleyae	80868	S	40	30	70	0.00000
Acidovorax sp. RAC01	1842533	S	46	10	56	0.00000
Acidovorax sp. T1	1858609	S	11	8	19	0.00000
Ottowia testudinis	2816950	S	67	8	75	0.00000
Massilia sp. LPB0304	2769491	S	577	150	727	0.00003
Massilia sp. H6	2970464	S	236	40	276	0.00001
Massilia sp. PAMC28688	2861283	S	148	17	165	0.00001
Massilia sp. DM-R-R2A-13	2899220	S	105	17	122	0.00001
Massilia sp. WG5	1707785	S	56	12	68	0.00000
Massilia sp. NP310	2861282	S	10	5	15	0.00000
Massilia varians	457921	S	383	56	439	0.00002
Massilia oculi	945844	S	356	61	417	0.00002
Pseudoduganella chitinolytica	34070	S	187	30	217	0.00001
Pseudoduganella plicata	321984	S	20	2	22	0.00000
Duganella zoogloeoides	75659	S	30	3	33	0.00000
Duganella dendranthematis	2728021	S	16	1	17	0.00000
Rugamonas sp. DEMB1	3039386	S	35	7	42	0.00000
Herbaspirillum huttiense	863372	S	289	94	383	0.00002
Herbaspirillum seropedicae	964	S	285	96	381	0.00002
Actimicrobium sp. CCC2.4	3048606	S	178	15	193	0.00001
Oxalobacter aliiformigenes	2946593	S	34	0	34	0.00000
Eleftheria terrae	1597781	S	562	74	636	0.00003
Aquabacterium sp. J223	2898431	S	443	100	543	0.00002
Xylophilus rhododendri	2697032	S	260	54	314	0.00001
Thiomonas sp. X19	1050370	S	48	4	52	0.00000
Caldimonas thermodepolymerans	215580	S	232	424	656	0.00003
Sphaerotilus sp. FB-5	2914710	S	200	29	229	0.00001
Piscinibacter gummiphilus	946333	S	88	65	153	0.00001
Roseateles sp. SL47	2995138	S	27	3	30	0.00000
Roseateles sp. DAIF2	2714952	S	10	2	12	0.00000
Roseateles amylovorans	2978473	S	39	4	43	0.00000
Methylibium sp. Pch-M	2082386	S	31	8	39	0.00000
Methylibium petroleiphilum	105560	S	10	2	12	0.00000
Neisseria bacilliformis	267212	S	410	33	443	0.00002
Neisseria sp. KEM232	655307	S	348	20	368	0.00002
Neisseria sp. oral taxon 014	641148	S	32	4	36	0.00000
Neisseria meningitidis	487	S	117	43	160	0.00001
Neisseria chenwenguii	1853278	S	113	4	117	0.00001
Neisseria lactamica	486	S	86	29	115	0.00001
Uruburuella suis	252130	S	326	13	339	0.00002
Conchiformibius steedae	153493	S	298	6	304	0.00001
Aquitalea denitrificans	519081	S	293	28	321	0.00001
Aquitalea aquatilis	1537400	S	165	15	180	0.00001
Chromobacterium vaccinii	1108595	S	207	26	233	0.00001
Paludibacterium yongneupense	400061	S	11	0	11	0.00000
Paludibacterium paludis	1225769	S	10	0	10	0.00000
Deefgea tanakiae	2865840	S	69	52	121	0.00001
Chitiniphilus sp. CD1	2981137	S	34	49	83	0.00000
Azoarcus sp. KH32C	748247	S	283	160	443	0.00002
Azoarcus sp. DN11	356837	S	23	33	56	0.00000
Thauera aminoaromatica	164330	S	54	101	155	0.00001
Thauera sp. WB-2	2897772	S	34	57	91	0.00000
Thauera aromatica	59405	S	32	61	93	0.00000
Pseudazoarcus pumilus	2067960	S	11	7	18	0.00000
Dechloromonas sp. HYN0024	2231055	S	427	49	476	0.00002
Dechloromonas sp. A34	447588	S	168	19	187	0.00001
Dechloromonas denitrificans	281362	S	44	6	50	0.00000
Ferribacterium limneticum	76259	S	40	4	44	0.00000
Aromatoleum petrolei	76116	S	206	202	408	0.00002
Azospira restricta	404405	S	25	10	35	0.00000
Azospira inquinata	2785627	S	10	1	11	0.00000
Nitrosospira sp. NRS527	155925	S	145	175	320	0.00001
Nitrosospira lacus	1288494	S	23	0	23	0.00000
Usitatibacter palustris	2732487	S	160	4	164	0.00001
Gallionella capsiferriformans	370405	S	124	2	126	0.00001
Sulfuritortus calidifontis	1914471	S	67	10	77	0.00000
Thiobacillus denitrificans	36861	S	26	5	31	0.00000
Thiobacillus sp.	924	S	16	3	19	0.00000
Methylophilus sp. TWE2	1662285	S	71	0	71	0.00000
Sulfuritalea hydrogenivorans	748811	S	65	3	68	0.00000
Candidatus Kinetoplastibacterium oncopeltii	994696	S	13	0	13	0.00000
Klebsiella grimontii	2058152	S	592	1292	1884	0.00009
Klebsiella pneumoniae	573	S	190	2234	2424	0.00011
Klebsiella oxytoca	571	S	57	12	69	0.00000
Klebsiella michiganensis	1134687	S	12	10	22	0.00000
Escherichia coli	562	S	615	8965	9580	0.00044
Escherichia marmotae	1499973	S	107	69	176	0.00001
Enterobacter kobei	208224	S	300	491	791	0.00004
Enterobacter cloacae complex sp.	2027919	S	184	184	368	0.00002
Enterobacter hormaechei	158836	S	62	242	304	0.00001
Enterobacter ludwigii	299767	S	11	8	19	0.00000
Atlantibacter subterranea	255519	S	473	165	638	0.00003
Salmonella enterica	28901	S	173	5810	5983	0.00027
Kluyvera ascorbata	51288	S	100	20	120	0.00001
Kluyvera cryocrescens	580	S	48	13	61	0.00000
Jejubacter calystegiae	2579935	S	71	1	72	0.00000
Citrobacter farmeri	67824	S	10	27	37	0.00000
Pluralibacter gergoviae	61647	S	29	2	31	0.00000
Pseudescherichia vulneris	566	S	13	1	14	0.00000
Cedecea neteri	158822	S	10	0	10	0.00000
Serratia marcescens	615	S	298	373	671	0.00003
Serratia odorifera	618	S	44	8	52	0.00000
Serratia surfactantfaciens	2741499	S	23	7	30	0.00000
Serratia rubidaea	61652	S	22	7	29	0.00000
Yersinia canariae	2607663	S	55	20	75	0.00000
Yersinia hibernica	2339259	S	20	8	28	0.00000
Rahnella bonaserana	2816248	S	24	7	31	0.00000
Candidatus Fukatsuia symbiotica	1878942	S	20	0	20	0.00000
Morganella morganii	582	S	469	37	506	0.00002
Xenorhabdus doucetiae	351671	S	145	0	145	0.00001
Xenorhabdus budapestensis	290110	S	43	0	43	0.00000
Proteus hauseri	183417	S	10	5	15	0.00000
Dickeya dadantii	204038	S	152	44	196	0.00001
Pectobacterium colocasium	2878098	S	12	61	73	0.00000
Edwardsiella hoshinae	93378	S	254	10	264	0.00001
Hafnia alvei	569	S	28	2	30	0.00000
Pantoea agglomerans	549	S	33	8	41	0.00000
Pantoea vagans	470934	S	16	11	27	0.00000
Mixta gaviniae	665914	S	41	2	43	0.00000
Mixta hanseatica	2872648	S	14	1	15	0.00000
Buchnera aphidicola	9	S	44	0	44	0.00000
Xanthomonas euvesicatoria	456327	S	4152	71964	76116	0.00346
Xanthomonas campestris	339	S	21	0	21	0.00000
Lysobacter sp. TY2-98	2290922	S	232	8	240	0.00001
Lysobacter sp. S4-A87	2925843	S	17	4	21	0.00000
Lysobacter soli	453783	S	83	20	103	0.00000
Lysobacter yananisis	1003114	S	36	438	474	0.00002
Lysobacter capsici	435897	S	26	26	52	0.00000
Pseudoxanthomonas mexicana	128785	S	326	37	363	0.00002
Luteimonas sp. MC1572	2799325	S	104	1	105	0.00000
Luteimonas sp. JM171	1896164	S	55	0	55	0.00000
Stenotrophomonas acidaminiphila	128780	S	60	17	77	0.00000
Stenotrophomonas maltophilia	40324	S	32	8	40	0.00000
Stenotrophomonas sp. BIO128-Bstrain	3027225	S	14	16	30	0.00000
Xylella fastidiosa	2371	S	90	4	94	0.00000
Frateuria edaphi	2898793	S	138	8	146	0.00001
Dyella thiooxydans	445710	S	40	2	42	0.00000
Dyella sp. BiH032	3075430	S	16	0	16	0.00000
Dyella sp. M7H15-1	2501295	S	10	0	10	0.00000
Pseudomonas sp. DG56-2	2320270	S	378	18	396	0.00002
Pseudomonas sp. AO-1	2855434	S	177	153	330	0.00002
Pseudomonas sp. MM227	3019968	S	52	3	55	0.00000
Pseudomonas sp. BT-42-2	2986927	S	45	3	48	0.00000
Pseudomonas sp. KU26590	2991051	S	29	2	31	0.00000
Pseudomonas putida	303	S	404	363	767	0.00003
Pseudomonas aeruginosa	287	S	162	577	739	0.00003
Pseudomonas resinovorans	53412	S	44	8	52	0.00000
Pseudomonas fluorescens	294	S	155	52	207	0.00001
Pseudomonas tolaasii	29442	S	103	18	121	0.00001
Pseudomonas rhodesiae	76760	S	67	8	75	0.00000
Pseudomonas tructae	2518644	S	245	20	265	0.00001
Pseudomonas asturiensis	1190415	S	147	6	153	0.00001
Pseudomonas syringae	317	S	12	6	18	0.00000
Pseudomonas fuscovaginae	50340	S	10	10	20	0.00000
Pseudomonas psychrotolerans	237610	S	173	21	194	0.00001
Pseudomonas chlororaphis	587753	S	119	65	184	0.00001
Pseudomonas fragi	296	S	12	3	15	0.00000
Pseudomonas knackmussii	65741	S	90	12	102	0.00000
Pseudomonas cucumis	2954082	S	61	15	76	0.00000
Pseudomonas asiatica	2219225	S	57	191	248	0.00001
Pseudomonas phytophila	2867264	S	46	1	47	0.00000
Pseudomonas azerbaijanorientalis	2842350	S	23	12	35	0.00000
Pseudomonas otitidis	319939	S	21	1	22	0.00000
Pseudomonas simiae	321846	S	15	2	17	0.00000
Pseudomonas agarici	46677	S	15	0	15	0.00000
Pseudomonas siliginis	2842346	S	14	17	31	0.00000
Stutzerimonas stutzeri	316	S	300	26	326	0.00001
Stutzerimonas frequens	2968969	S	24	3	27	0.00000
Halopseudomonas salegens	1434072	S	134	1	135	0.00001
Azotobacter salinestris	69964	S	110	2	112	0.00001
Permianibacter aggregans	1510150	S	99	0	99	0.00000
Marinobacter sp. M3C	2917715	S	37	3	40	0.00000
Marinobacter sp. CP1	1671721	S	31	3	34	0.00000
Marinobacter sp. JH2	2547598	S	31	0	31	0.00000
Acinetobacter junii	40215	S	221	144	365	0.00002
