name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	11501702	768701	12270403	0.55816
Segatella hominis	2518605	S	278457	48653	327110	0.01488
Segatella baroniae	305719	S	3335	14902	18237	0.00083
Segatella oris	28135	S	2772	220	2992	0.00014
Segatella bryantii	77095	S	2463	5975	8438	0.00038
Prevotella sp. E9-3	2913621	S	2345	140	2485	0.00011
Prevotella sp. E13-17	2913616	S	1957	118	2075	0.00009
Prevotella sp. E2-28	2913620	S	1718	96	1814	0.00008
Prevotella sp. E15-22	2937774	S	994	71	1065	0.00005
Prevotella sp. Rep29	2691580	S	602	16	618	0.00003
Prevotella sp. oral taxon 299	652716	S	507	37	544	0.00002
Prevotella sp. oral taxon 475	712471	S	175	6	181	0.00001
Prevotella melaninogenica	28132	S	6894	1678	8572	0.00039
Prevotella communis	2913614	S	4429	190	4619	0.00021
Prevotella intermedia	28131	S	3046	792	3838	0.00017
Prevotella dentalis	52227	S	2429	179	2608	0.00012
Prevotella jejuni	1177574	S	2177	701	2878	0.00013
Prevotella fusca	589436	S	1946	346	2292	0.00010
Prevotella veroralis	28137	S	1925	344	2269	0.00010
Prevotella bivia	28125	S	1716	138	1854	0.00008
Prevotella nigrescens	28133	S	1476	599	2075	0.00009
Prevotella scopos	589437	S	1347	549	1896	0.00009
Prevotella herbatica	2801997	S	1284	7	1291	0.00006
Prevotella corporis	28128	S	1243	127	1370	0.00006
Prevotella denticola	28129	S	952	262	1214	0.00006
Prevotella multiformis	282402	S	656	243	899	0.00004
Prevotella histicola	470565	S	492	53	545	0.00002
Paraprevotella clara	454154	S	3188	246	3434	0.00016
Paraprevotella xylaniphila	454155	S	837	98	935	0.00004
Hoylesella buccalis	28127	S	1763	1198	2961	0.00013
Hoylesella enoeca	76123	S	547	74	621	0.00003
Xylanibacter ruminicola	839	S	2243	34	2277	0.00010
Pseudoprevotella muciniphila	2133944	S	304	1	305	0.00001
Bacteroides stercoris	46506	S	353818	63265	417083	0.01897
Bacteroides finegoldii	338188	S	221429	84185	305614	0.01390
Bacteroides caccae	47678	S	176081	39784	215865	0.00982
Bacteroides xylanisolvens	371601	S	123248	106510	229758	0.01045
Bacteroides uniformis	820	S	119781	76366	196147	0.00892
Bacteroides fragilis	817	S	61665	18840	80505	0.00366
Bacteroides thetaiotaomicron	818	S	46392	6079	52471	0.00239
Bacteroides zhangwenhongii	2650157	S	32152	9699	41851	0.00190
Bacteroides sp. CACC 737	2755405	S	7560	19366	26926	0.00122
Bacteroides sp. A1C1	2528203	S	5084	16813	21897	0.00100
Bacteroides sp. DH3716P	2847299	S	3933	22476	26409	0.00120
Bacteroides sp. HF-162	2785531	S	1706	8686	10392	0.00047
Bacteroides sp. M10	2763022	S	1495	671	2166	0.00010
Bacteroides sp. D2	556259	S	878	641	1519	0.00007
Bacteroides sp. ZJ-18	2709390	S	46	167	213	0.00001
Bacteroides ovatus	28116	S	17693	26642	44335	0.00202
Bacteroides faecis	674529	S	8400	1507	9907	0.00045
Bacteroides caecimuris	1796613	S	7502	1761	9263	0.00042
Bacteroides nordii	291645	S	5258	217	5475	0.00025
Bacteroides eggerthii	28111	S	3590	581	4171	0.00019
Bacteroides salyersiae	291644	S	2703	167	2870	0.00013
Bacteroides faecium	2715212	S	2632	79	2711	0.00012
uncultured Bacteroides sp.	162156	S	1471	6	1477	0.00007
Bacteroides luhongzhouii	2650158	S	1405	232	1637	0.00007
Bacteroides humanifaecis	2792859	S	1375	6111	7486	0.00034
Bacteroides cellulosilyticus	246787	S	930	290	1220	0.00006
Bacteroides helcogenes	290053	S	707	10	717	0.00003
Bacteroides intestinalis	329854	S	292	18	310	0.00001
Bacteroides zoogleoformans	28119	S	287	30	317	0.00001
Bacteroides heparinolyticus	28113	S	204	19	223	0.00001
Bacteroides coprosuis	151276	S	88	0	88	0.00000
Bacteroides graminisolvens	477666	S	78	0	78	0.00000
Phocaeicola vulgatus	821	S	813455	293062	1106517	0.05033
Phocaeicola dorei	357276	S	43011	14587	57598	0.00262
Phocaeicola coprophilus	387090	S	3658	507	4165	0.00019
Phocaeicola salanitronis	376805	S	1226	37	1263	0.00006
Parabacteroides merdae	46503	S	466905	96527	563432	0.02563
Parabacteroides distasonis	823	S	226164	226182	452346	0.02058
Parabacteroides johnsonii	387661	S	2233	3802	6035	0.00027
Parabacteroides goldsteinii	328812	S	2005	141	2146	0.00010
Parabacteroides faecis	1217282	S	1167	75	1242	0.00006
Parabacteroides chongii	2685834	S	502	43	545	0.00002
Parabacteroides sp. CT06	2025876	S	102	2955	3057	0.00014
Tannerella forsythia	28112	S	47	0	47	0.00000
Tannerella serpentiformis	712710	S	11	0	11	0.00000
Alistipes onderdonkii	328813	S	596386	84559	680945	0.03098
Alistipes shahii	328814	S	51230	7743	58973	0.00268
Alistipes dispar	2585119	S	38522	2359	40881	0.00186
Alistipes communis	2585118	S	33565	1992	35557	0.00162
Alistipes indistinctus	626932	S	15850	421	16271	0.00074
Alistipes finegoldii	214856	S	10629	2120	12749	0.00058
Alistipes megaguti	2364787	S	5246	282	5528	0.00025
Alistipes senegalensis	1288121	S	5077	920	5997	0.00027
uncultured Alistipes sp.	538949	S	2108	39	2147	0.00010
Alistipes ihumii	1470347	S	120	0	120	0.00001
Alistipes sp. dk3624	2662363	S	103	3	106	0.00000
uncultured Acetobacteroides sp.	1760811	S	447	0	447	0.00002
Odoribacter splanchnicus	28118	S	16927	1933	18860	0.00086
