name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	810391	776271	1586662	0.09921
Bacteroides stercoris	46506	S	321521	83514	405035	0.02533
Bacteroides fragilis	817	S	296962	135853	432815	0.02706
Bacteroides caccae	47678	S	120883	20410	141293	0.00883
Bacteroides thetaiotaomicron	818	S	120339	25838	146177	0.00914
Bacteroides eggerthii	28111	S	73891	21695	95586	0.00598
Bacteroides ovatus	28116	S	38363	88044	126407	0.00790
Bacteroides sp. A1C1	2528203	S	7645	39225	46870	0.00293
Bacteroides sp. HF-162	2785531	S	3762	30024	33786	0.00211
Bacteroides sp. CACC 737	2755405	S	3029	12193	15222	0.00095
Bacteroides sp. DH3716P	2847299	S	912	7730	8642	0.00054
Bacteroides sp. D2	556259	S	867	1104	1971	0.00012
Bacteroides sp. M10	2763022	S	867	724	1591	0.00010
Bacteroides sp. PHL 2737	2162637	S	458	124669	125127	0.00782
Bacteroides sp. ZJ-18	2709390	S	169	871	1040	0.00007
Bacteroides sp. BFG-257	2972761	S	23	1248	1271	0.00008
Bacteroides nordii	291645	S	18971	1424	20395	0.00128
Bacteroides xylanisolvens	371601	S	16937	38289	55226	0.00345
Bacteroides salyersiae	291644	S	16196	1822	18018	0.00113
Bacteroides faecis	674529	S	11021	3275	14296	0.00089
Bacteroides caecimuris	1796613	S	9837	3758	13595	0.00085
Bacteroides humanifaecis	2792859	S	9810	64511	74321	0.00465
Bacteroides cellulosilyticus	246787	S	7844	3701	11545	0.00072
Bacteroides finegoldii	338188	S	6807	3985	10792	0.00067
uncultured Bacteroides sp.	162156	S	5166	33	5199	0.00033
Bacteroides zhangwenhongii	2650157	S	3495	1677	5172	0.00032
Bacteroides helcogenes	290053	S	1253	29	1282	0.00008
Bacteroides faecium	2715212	S	1202	53	1255	0.00008
Bacteroides luhongzhouii	2650158	S	1088	261	1349	0.00008
Bacteroides heparinolyticus	28113	S	989	148	1137	0.00007
Bacteroides zoogleoformans	28119	S	863	150	1013	0.00006
Bacteroides intestinalis	329854	S	756	71	827	0.00005
Bacteroides coprosuis	151276	S	733	10	743	0.00005
Bacteroides graminisolvens	477666	S	676	4	680	0.00004
Phocaeicola vulgatus	821	S	727310	406663	1133973	0.07091
Phocaeicola dorei	357276	S	724766	350848	1075614	0.06726
Phocaeicola coprophilus	387090	S	73225	18874	92099	0.00576
Phocaeicola salanitronis	376805	S	25107	1411	26518	0.00166
Alistipes shahii	328814	S	785592	136407	921999	0.05765
Alistipes communis	2585118	S	761078	71368	832446	0.05205
Alistipes finegoldii	214856	S	532028	156452	688480	0.04305
Alistipes ihumii	1470347	S	214831	1491	216322	0.01353
Alistipes onderdonkii	328813	S	208573	44064	252637	0.01580
Alistipes sp. dk3624	2662363	S	66803	3657	70460	0.00441
Alistipes dispar	2585119	S	63531	6040	69571	0.00435
Alistipes megaguti	2364787	S	38238	3345	41583	0.00260
Alistipes senegalensis	1288121	S	17130	1242	18372	0.00115
Alistipes indistinctus	626932	S	16565	666	17231	0.00108
uncultured Alistipes sp.	538949	S	4105	73	4178	0.00026
uncultured Acetobacteroides sp.	1760811	S	42	0	42	0.00000
Parabacteroides distasonis	823	S	83713	75966	159679	0.00998
Parabacteroides johnsonii	387661	S	74419	18830	93249	0.00583
Parabacteroides merdae	46503	S	12621	4515	17136	0.00107
Parabacteroides faecis	1217282	S	7079	382	7461	0.00047
Parabacteroides goldsteinii	328812	S	1443	156	1599	0.00010
Parabacteroides chongii	2685834	S	376	32	408	0.00003
Parabacteroides sp. CT06	2025876	S	261	4350	4611	0.00029
Tannerella serpentiformis	712710	S	298	3	301	0.00002
Tannerella forsythia	28112	S	128	3	131	0.00001
Segatella copri	165179	S	93323	6269	99592	0.00623
Segatella hominis	2518605	S	3330	470	3800	0.00024
Segatella bryantii	77095	S	666	1060	1726	0.00011
Segatella oris	28135	S	599	63	662	0.00004
Segatella baroniae	305719	S	50	146	196	0.00001
Prevotella sp. E9-3	2913621	S	8804	1221	10025	0.00063
Prevotella sp. Rep29	2691580	S	5462	293	5755	0.00036
Prevotella sp. oral taxon 475	712471	S	1679	213	1892	0.00012
Prevotella sp. E15-22	2937774	S	809	178	987	0.00006
Prevotella sp. E2-28	2913620	S	808	137	945	0.00006
Prevotella sp. E13-17	2913616	S	731	105	836	0.00005
Prevotella sp. oral taxon 299	652716	S	716	202	918	0.00006
Prevotella communis	2913614	S	3128	559	3687	0.00023
Prevotella denticola	28129	S	2208	2605	4813	0.00030
Prevotella dentalis	52227	S	2194	547	2741	0.00017
Prevotella melaninogenica	28132	S	1686	1801	3487	0.00022
Prevotella intermedia	28131	S	1487	1587	3074	0.00019
Prevotella herbatica	2801997	S	1393	15	1408	0.00009
Prevotella corporis	28128	S	1202	351	1553	0.00010
Prevotella nigrescens	28133	S	951	1299	2250	0.00014
Prevotella bivia	28125	S	706	209	915	0.00006
Prevotella histicola	470565	S	683	301	984	0.00006
Prevotella multiformis	282402	S	643	1092	1735	0.00011
Prevotella fusca	589436	S	574	442	1016	0.00006
Prevotella jejuni	1177574	S	494	699	1193	0.00007
Prevotella veroralis	28137	S	235	173	408	0.00003
Prevotella scopos	589437	S	132	240	372	0.00002
Paraprevotella clara	454154	S	4027	678	4705	0.00029
Paraprevotella xylaniphila	454155	S	3187	777	3964	0.00025
Hoylesella enoeca	76123	S	2152	388	2540	0.00016
Hoylesella buccalis	28127	S	866	18048	18914	0.00118
Xylanibacter ruminicola	839	S	1949	41	1990	0.00012
Pseudoprevotella muciniphila	2133944	S	700	5	705	0.00004
Odoribacter splanchnicus	28118	S	58865	10112	68977	0.00431
Butyricimonas virosa	544645	S	11906	1043	12949	0.00081
Butyricimonas paravirosa	1472417	S	5371	1625	6996	0.00044
Butyricimonas faecihominis	1472416	S	1034	224	1258	0.00008
Butyricimonas faecalis	2093856	S	986	341	1327	0.00008
Coprobacter fastidiosus	1099853	S	31981	632	32613	0.00204
Coprobacter secundus	1501392	S	2397	298	2695	0.00017
Barnesiella viscericola	397865	S	13439	1386	14825	0.00093
Proteiniphilum saccharofermentans	1642647	S	3775	16	3791	0.00024
Proteiniphilum propionicum	2829812	S	416	1	417	0.00003
Petrimonas mucosa	1642646	S	936	12	948	0.00006
Dysgonomonas sp. HDW5B	2714927	S	46	56	102	0.00001
